 St-Aimé-des-Lacs,[0.]
100 Mile House,"[390035. 255392.  84007. 244203. 297318. 272917. 275746. 265696. 175962.
  11459.  97799.]"
108 Mile Ranch,[ 9108. 26177.]
150 Mile House,[5781. 6352.]
70 Mile House,[17644.]
ABBOTSFORD,[30720.]
AIRDRIE,[1800.]
ALBANEL,[1080.]
ARMSTRONG,[1941.]
ATHABASCA,[4777.]
Abbey,[ 987. 1549.]
Abbotsford,"[  326626.   987362.  1723790.  1158205. 22262816.   952884.   715819.
   900800.   944537.  1479177.    97113.   596591.  1718385.]"
"Abbotsford, British Columbia",[36008.]
"Abbotsford, British Columbia|Abbotsford, Colombie-Britannique",[185576.  30631.  45838.]
Abercrombie,[1388.]
Aberdeen,[2631.]
Abernethy,[ 8311. 24413.]
Abram-Village,[3234.]
Acadia Valley,[ 6528. 18400.]
Acadieville,[4653. 3147.]
Acheson,[ 3264. 10500.]
Acme,[20029. 18300.]
Acton,[159744.  13877.]
Acton Vale,[139100. 111664.  89087. 324971. 513198.  40673.  42370.  97720.]
"Acton, Ontario",[50000.]
Addison,[3360.]
Adstock,[19142. 60292.]
Advocate Harbour,[6380. 6122.]
Afton,[6872.]
Afton Station,[312624.  10833.]
Agassiz,[ 147397.  144784.  188477. 1975231.   50000. 3180724.  202947.]
Aguanish,[3551. 9598.]
Aguathuna,[9165.]
Ahousaht,[ 6072. 22055.]
Ailsa Craig,[50000. 31987.]
Air Ronge,[64140.  1316.  1549.]
Airdrie,[ 38285. 304238. 168066. 169546.]
"Airdrie, Alberta",[35136.]
Ajax,"[ 83643. 101035.  25492.  71553. 163744.  32786.  33622.  34307. 299023.
 750406. 106909.]"
"Ajax, Ontario",[359001.]
Aklavik,[16064.]
Akwesasne,[15188.]
"Akwesasne, Ontario",[700000.]
Alban,[11866.]
Albanel,[16281. 57276.]
Albany,[35360.  3817. 32425.]
Albert Bridge,[8192. 8464.]
Alberta Beach,[7418. 8295.]
Alberton,"[213893.  72366. 351686.  70067. 209569. 322146.  98201.  96739. 131863.
 172679. 166537.  42556. 147918.]"
"Alberton, Prince Edward Island|Alberton, Île-du-Prince-Édouard",[613842.]
Alcida,[3514. 3081.]
Alcove,[3500.]
Aldergrove,[ 96352. 141971.]
Alderwood,[1183. 1208.]
Alert Bay,[ 6077. 21588.]
Alexander,[1591.]
Alexandria,[70025.]
Alexis Creek,[33881.]
Alfred,[ 26220.  36601. 117848.  31618.      0.]
Algonquin Highlands,[32500. 24848. 51690.]
"Algonquin Highlands, Ontario",[43875.]
Alida,[ 6094. 28782.]
Alix,[3264. 4200.]
All Newfoundland and Labrador,[0.]
Allan,[5263. 5954.]
Allardville,[1380. 1380.]
Allenford,[41265.  5040.     0.]
Alleyn-et-Cawood,[2471.]
Alliston,[ 48184.  33055. 162605.  83919.]
"Alliston, Ontario",[41738.]
Alma,"[ 793828.  134338.  255598.   45849.  494475.  280719.  407060.   89582.
  503699.  271266.  308730.  332956. 1266188.]"
"Alma, Quebec|Alma, Québec",[255818.]
Almonte,[50000. 34239. 30470. 59004.]
Alouette,[31866.]
Altona,[27923. 33208. 33515. 29487. 11560. 63468.]
Alvinston,[9392.]
Amaranth,[10080.]
Ameliasburgh,[5477.]
Amherst,[292996.  93432. 236738. 100852. 338010.  83711.  89583. 111612. 164163.]
Amherst Shore,[1320.]
Amherstburg,[282172.  48356.  53373. 105373.]
"Amherstburg, Ontario",[29374.]
Amherstview,[8190.]
Amman,[315000.]
Amos,"[114498.  25594. 244205.  94169.  31088.  98949. 169519.  97092. 128080.
  83782. 243056.]"
"Amos, Quebec|Amos, Québec",[113082.]
Amqui,[122861. 129851. 110937.  49985. 292200. 168008.  80876.  66727. 256638.]
"Amqui, Quebec|Amqui, Québec",[90000.]
Anahim Lake,[2660. 4852.]
Ancaster,"[ 42010.  39000.  36574.  68084.  63767.  58037.  55486.  26270.  25110.
 106841. 238221.]"
"Ancaster, Ontario",[ 46966. 285201.]
Anchor Point,[3243. 3871.]
Ancienne-Lorette,[15934.]
Anderson Road,[25000.]
Andrew,[3264. 4200.]
Ange-Gardien,[ 7560. 17500.]
Angliers,[13175. 56703.]
Angus,[21907.  4430.]
Anjou,[148830.  89569. 383472. 255405. 586763.]
"Anjou, Quebec|Anjou, Québec",[578916.]
Annaheim,[ 1316. 19806.]
Annapolis Royal,[ 29509.  30012.  45000.  29823.  42223. 101493.]
Anse Bleue,[7192.]
Anse des Belliveau,[6190.]
Anse-Bleue,[3076.]
Antigonish,[ 339269.  238243.  202632.   25542. 1297817.  197193.  235669.]
Antigonish County,[9512.]
"Antigonish, Nova Scotia|Antigonish, Nouvelle-Écosse",[ 26064. 110792.]
Apohaqui,[4551. 5934.]
Appin,[3360.]
Appleton,[8956. 9165.]
Apsley,[8400.]
Arborfield,[ 9208. 10840.]
Arborg,[32908. 45956.]
Arcadia,[1540. 2775.]
Archerwill,[1316.]
Arcola,[2302. 1549.]
"Arden, Ontario",[41664.]
Ardrossan,[33085. 10500.]
Argyle,[77510. 17551.]
Arichat,[46790. 87291.]
Arichat ,[6872.]
Arisaig,[4976. 3611.]
Ariss,[3797.]
Arkell,[50000.]
Arkona,[11760.]
Armagh,[ 7022. 18468.]
Armena,[1632. 2100.]
Armstrong,[  62000. 1278818.   50451.   76271.   70253.]
"Armstrong, British Columbia|Armstrong, Colombie-Britannique",[30540.]
Arnold's Cove,[22204. 15624.]
Arnprior,[50000. 50000. 38805. 47651. 49080.]
Aroland,[16611.]
Arthur,[45950.  3797.]
Arthurette,[7530.]
Arundel,[ 3960. 34898.]
Arva,[29041. 10080.]
Arviat,[2475000.   16332.]
Asbestos,"[218101. 225018. 200712. 179856. 352936. 665690.  33467. 190779. 155698.
  57504. 326198.]"
Ascot Corner,[ 2160. 17500.]
Ashburn,[134948. 131087. 150585. 136431.  97162.  48120.  51274.  55250.]
"Ashburn, Ontario",[35568. 36396.]
Ashcroft,[12974. 68219.]
Ashern,[19500. 11979.  6864.]
Ashmore,[3436. 3611.]
Ashton,[18480.     0.]
Aspen,[3436. 3095.]
Assiniboia,[10041. 27359.]
Aston-Jonction,[ 5764. 11950.]
Astra,[21357.]
Athabasca,[464754.  42265.  58780.  46989.]
Athens,[5040.]
Atholville,[ 9236. 11270.]
Atikameg,[4541439.  420000.]
Atikokan,[69000. 62856.]
Atlin,[678252.]
Attawapiskat,[7870958.   30374.]
"Attawapiskat, Ontario",[28856.]
Atwood,[1260.]
Auburn,[4900.]
Auclair,[ 9315. 22936.]
Audet,[3294. 6830.]
Aulac,[1802. 1840.]
Aumond,[1440. 3938.]
Aurora,[134711. 146886.  74984.  99923. 106068. 235774. 586980. 230492.]
"Aurora, Ontario",[107600.]
Austin,[50000.  8657. 17736.]
Auteuil,[15936.]
Authier,[ 7848. 15934.]
Authier-Nord,[4000.]
Avondale,[24071. 22754.]
Avonlea,[7411. 6668.]
Ayer's Cliff,[ 59078. 136604.]
"Ayer's Cliff, Quebec|Ayer's Cliff, Québec",[30000. 49900.]
Ayers Cliff,[13090.]
Aylesford,[15898. 16318.]
Aylmer,[ 50000.  30000.  28912.  30855.  50000.  31128. 121500.  33828.]
"Aylmer, Ontario",[29066. 50000.]
Ayr,[ 93546. 196849. 206902. 253919. 416254.  21402. 106726.]
Ayton,[50000.  1680.]
Azilda,[  5040. 128975.]
"Azilda, Ontario",[278242.]
BANCROFT,[5119.]
BANFF,[12600.]
BEAUMONT,[8400.]
BEAVERLODGE,[4200.]
BERWYN,[4200.]
BIG RIVER,[21543.]
BOISBRIAND,[12488.]
BOWMANVILLE,[49542.]
BRAMPTON,[1680.    0.]
BRANDON,[12640.]
BRANTFORD,[0.]
BROSSARD,[1260.]
BUENA VISTA,[4646.]
BURLINGTON,[0.]
BURNABY,[47891.]
BURWASH LANDING,[12145.]
Back Bay,[3082.]
Baddeck,[115299. 100808.]
Baden,[16380.]
Badger,[6840.]
Badger's Quay,[27627.]
Badgers Quay,[14266.]
Baie Sainte-Anne,[2760.]
Baie St-Paul,[109535.  38340.      0.]
Baie Verte,[ 48652.  48879.  82077.  48835.  95021.  82052. 116570.]
"Baie d'Urfe, Quebec|Baie d'Urfe, Québec",[29218.]
Baie d'Urfé,[4941.]
Baie de Bouctouche,[1183. 1208.]
Baie-Comeau,"[203791. 296594. 135035. 301014. 282339. 232845. 300430.  97316. 293592.
  99614. 229047. 200929. 622520.]"
"Baie-Comeau, Quebec|Baie-Comeau, Québec",[697266.]
Baie-D'Urfé,[35968. 92236.]
Baie-Johan-Beetz,[ 5711. 10500.]
Baie-Saint-Paul,"[286854.  25834. 260214.  79811.  25041. 130198. 156730.  25689. 124849.
 327128. 780762.  58971. 237202.]"
"Baie-Saint-Paul, Quebec|Baie-Saint-Paul, Québec",[580748.]
Baie-Sainte-Anne,[14461.  3596.]
Baie-St-Paul,[ 97650.  31936. 125688.  98647.]
Baie-Trinité,[ 5711. 14525.]
Baie-d'Urfé Montréal,[3938.]
Baie-du-Febvre,[64168. 20174. 45888.]
Bailey's Brook,[1388.]
Bainsville,[7594.]
Baker Brook,[5970.]
Baker-Brook,[50000. 13471. 12398.]
Bala,[6720.]
Balcarres,[ 987. 8287.]
Baldur,[9303. 3686.]
Balfour,[3036. 6648.]
Balgonie,[89545.  6579. 11376.]
Ballantyne's Cove,[4160.]
Ballantynes Cove,[4976.]
Balls Creek,[1650. 1388.]
Balmertown,[50000.]
"Balmertown, Ontario",[50000.]
Balmoral,[49406. 54796.]
Bamfield,[24153. 26466.]
Bancroft,[ 39102.  92842.  87267. 175345. 193496.  38220.  78402. 126334.]
Banff,[ 26970.  62737. 154200.]
Bangor,[3047. 3591.]
Barachois,[ 2882. 27900.]
Barachois Brook,[2986.]
Barkerville,[27887. 23996.]
"Barkerville, British Columbia|Barkerville, Colombie-Britannique",[33995.]
Barkmere,[1440. 3500.]
Barney's River,[6190.]
Barney's River Station,[2945.]
Barraute,[18058. 47540.]
Barrhaven,[3360.]
Barrhead,[42728. 29428.]
Barrie,"[ 904740.  700589. 1309424. 2628820. 1597113. 4565283. 1078680.  780965.
  379846.  829579.  826757.  891902.  275592.]"
"Barrie, Ontario",[6917724.   36725.]
Barriere,[ 56569. 147358.]
Barrington,[14792. 20040.]
Barry's Bay,[ 33240. 100000.  50001.  48788.   1890.]
"Barry's Bay, Ontario",[50000.]
Barrys Bay,[97061.     0.]
Barryville,[25000.]
Bartibog Bridge,[4109.]
Bartlett's Harbour,[2986. 3819.]
Barwick,[41810.  3360.]
Bas-Caraquet,[40622. 64644.]
Bashaw,[25632. 85423.]
Bass River,[8846. 9142.]
Bassin,[3500.]
Batawa,[13801.]
Batchawana Bay,[5040.]
Batchewana First Nation,[42718. 34609. 55375.]
"Batchewana First Nation, Ontario",[32469.]
Bath,[42954. 31373.]
Bathrust,[37200.]
Bathurst,"[ 284826.  437261.  622390. 2159427.  662075.  163785.  763457. 2591580.
  187164. 5915528.]"
"Bathurst, New Brunswick|Bathurst, Nouveau-Brunswick",[25000.]
Batiscan,[66284. 20200. 50804.]
Battleford,[50000.  9207. 10176.]
Bauline,[6840.]
"Bawlf, Alberta",[50000.]
Bay Bulls,[54210. 27300. 99885. 95751.]
Bay Du Vin,[2013.]
Bay L'Argent,[2985. 3119.]
Bay Roberts,"[ 72043.  53012.  27304.  65565.  65615.  65539.  67436.  69086.  75371.
 136787.]"
"Bay Roberts, Newfoundland and Labrador|Bay Roberts, Terre-Neuve-et-Labrador",[70486.]
Bay St. Lawrence,[17646. 11610.]
Bay de Verde,[10887. 12347.]
Bay du Vin,[19147. 10788.]
Bayfield,[43660. 15266.]
Bayside,[1577.]
Bayswater,[25000.]
Baytona,[1368.]
Beachburg,[7997.]
Beachville,[3797.]
Beaconsfield,[ 30454.  32177.  50000.  70781. 149890. 413793.]
"Beaconsfield, Quebec|Beaconsfield, Québec",[101796.  50000.]
Beamsville,[ 45765. 125313.  31300.]
"Beamsville, Ontario",[32466. 36501.]
"Bear Island, Ontario",[25536.]
Bear River,[ 6382. 47292.]
Beardmore,[11225. 25000.]
"Beardmore, Ontario",[47060.]
Beardsley,[1802. 1840.]
Bearn,[93838.]
Bearskin Lake,[25000.]
Beasmville,[5040.]
Beau Bois,[2986. 3055.]
Beaubassin East,[3852.]
Beaucanton,[ 4734. 15936.]
Beauceville,[130000.  20121.  32002.]
Beauharnois,"[130631. 349943.  94164. 190960. 156605.  84328.  41520. 232355.  68403.
 479632.]"
"Beauharnois, Quebec|Beauharnois, Québec",[111016.]
Beaulac-Garthby,[3551. 9080.]
Beaumont,[25564. 50000. 21204. 78233.]
Beauport,[250063.  26667.   6176.]
Beaupré,[25936. 46266.]
Beausejour,[85071. 85279. 87217. 88751. 71752. 95332. 91934. 49283. 30585. 70271.]
Beausejour Mb.,[3686.]
"Beausejour, Manitoba",[49488.]
Beausjour,[18217.]
Beauval,[8726.]
Beaver Bank,[15342. 21826.]
Beaver Harbour,[2700.]
Beaver harbour,[3082.]
Beaverlodge,[50000. 29971. 14940.]
Beaverton,[40766.]
Bedell,[4016. 5489.]
Bedeque,[1472.]
Bedford,[ 27316. 217318. 371613.]
Beech Hill,[2640. 4162.]
Beechville,[8721. 4046.]
Beechwood,[3082.]
Beechy,[1316.]
Beersville,[7028. 3082.]
Beeton,[50000. 35000. 29501.     0.]
"Beeton, Ontario",[37100.]
Behchoko,[4385142.   62354.]
"Behchoko, Northwest Territories|Behchoko, Territoires du Nord-Ouest",[77615.]
Behchokö,[6913419.]
Beiseker,[4998. 7200.]
Belcarra,"[ 48923.  49787.  59585.  53986.  51113.  61880.  60270.  59040.  66420.
  98590. 132752. 100681.]"
"Belcarra, British Columbia|Belcarra, Colombie-Britannique",[97737.]
Belcourt,[2520. 7000.]
Belfast,[13026. 17105.]
Belgrave,[3360.]
Bell Island,"[ 36064.  39915.  40954.  40980.  46473.  41010.  73053.  83468. 112392.
 127526.]"
"Bell Island, Newfoundland and Labrador|Bell Island, Terre-Neuve-et-Labrador",[78225.]
Bella Bella,[  95740.   97877. 3133692.   98826.   99577.   27060.   37237.   37336.]
"Bella Bella, British Columbia|Bella Bella, Colombie-Britannique",[480501.]
Bella Coola,[32475.  8822.]
Belle Côte,[1619.]
Belle River,[27726. 27462.  1717.]
"Belle River, Ontario",[47304.]
Belle Vallee,[1680.]
Belledune,[1577. 1610.]
Bellegarde,[2631. 3078.]
Belleisle Creek,[1183. 2990.]
Belleoram,[10451. 18021.]
Belleterre,[ 1260. 80780.]
Belleville,"[ 282076.  237108.   79247.  527177.  188444.  186973.  820473. 3382728.
  492837. 2701840.]"
Bellevue,[13523.  5790.]
Bellevue Beach,[2736.]
Belliveau Cove,[ 2946. 11299.]
Belmont,[4781. 3160.]
Beloeil,[367809. 392565. 214622. 439427.]
"Beloeil, Quebec|Beloeil, Québec",[30918. 45500.]
Belwood,[15994.]
Ben Eoin,[14481. 14844.]
Bengough,[11355. 16472.]
Benito,[7265.]
Benoit,[3076. 3596.]
Benoit's Cove,[17912. 10520.]
Benton,[4016. 4109.]
Beresford,[27788. 38370.]
Berry,[ 4142. 11732.]
Berry Mills,[27600.  3596.]
Berthier-sur-Mer,[16878.  7968.]
Berthierville,[214485. 220079.  69424. 185630.]
Bertrand,[17469. 14835.]
Berwick,[240410. 316311. 562229.  44850.  55720.  50359.]
Berwyn,[4896.]
Bethany,[1680.]
Bethel,[1577. 1610.]
Bethune,[1316. 1549.]
Bewdley,[16600.]
Bezanson,[3709. 4095.]
Bible Hill,[12676. 16190.]
Bickerton West,[ 3436. 25095.]
Biencourt,[8235. 3000.]
Bienfait,[5262. 4646.]
Big Beaver,[2655.]
Big Bras d'Or,[282670.   1650.   1388.]
Big Cove,[   72739. 16740931.]
Big Pond,[3436. 8610.]
Big Pond ,[1485.]
Big River,[36147. 71247.]
Big Tancook Island,[1540. 5230.]
Big Trout Lake,[49774. 22782.]
"Big Trout Lake, Ontario",[41490.]
Big Valley,[13946. 14767.]
Biggar,[19282. 62771.]
Binbrook,[3797.]
"Binbrook, Ontario",[32850.]
Binscarth,[ 6202. 10531.]
Birch Hill,[1619. 1717.]
Birch Hills,[10940. 18732.]
Birch Island,[ 9966. 25000.]
Birchy Bay,[81141.  6096.  6238.]
Birchy Head,[1340. 1368.]
Bird Cove,[3055.]
Birsay,[1328.]
Birtle,[ 2676. 21943.]
Bishop's Falls,[34464. 90940. 79940. 37976. 33915. 27150. 56132. 62495.]
Black Cape,[3294.]
Black Creek,[11044.  3781.]
Black Diamond,[12760. 47773.]
Black Lake First Nation,[17953.]
Black Point,[1352. 1610.]
Black River,[ 3154. 26610.]
Black River Bridge,[1725.]
Black River Lake,[3468.]
Black Rock,[4514.]
Black Tickle,[5972. 6110.]
Blackfalds,[19908.  8940.]
Blackfoot,[9556.]
Blackie,[25000.]
Blackland,[3514.]
Blacks Harbour,[11873. 18546.]
Blackstock,[29938.     0.]
Blackville,[14207. 28722.]
Blaine Lake,[3947. 3097.]
Blainville,"[104113. 147392. 146814.  99657.  99858. 136703.  94618.  27692. 226319.
 509655.]"
"Blainville, Quebec|Blainville, Québec",[36072.]
Blairmore,[ 57092.  40772.  49624.  49970. 116864.  63613.  54732.  18397.  35933.]
Blaketown,[12574. 15466.]
Blanc-Sablon,[6972.]
Blandford,[4620. 4625.]
Blenheim,[72761.  8860.]
Blind Bay,[6074. 2493.]
Blind River,[34979. 47244.]
Blockhouse,[ 6872. 19462.]
Bloomfield,[  15938. 3012002.]
Blue Mountains,[7594.]
Blue Ridge,[8131.]
Blue River,[2426.]
Blue Sea,[12401. 27654.]
