recipient_city,agreement_value,year
 St-Aimé-des-Lacs,[0.],[2019]
100 Mile House,"[390035. 255392.  84007. 244203. 297318. 272917. 275746. 265696. 175962.
  11459.  97799.]",[2006 2007 2008 2009 2010 2012 2013 2014 2016 2018 2019]
108 Mile Ranch,[ 9108. 26177.],[2018 2019]
150 Mile House,[5781. 6352.],[2018 2019]
70 Mile House,[17644.],[2019]
ABBOTSFORD,[30720.],[2019]
AIRDRIE,[1800.],[2019]
ALBANEL,[1080.],[2018]
ARMSTRONG,[1941.],[2019]
ATHABASCA,[4777.],[2019]
Abbey,[ 987. 1549.],[2018 2019]
Abbotsford,"[  326626.   987362.  1723790.  1158205. 22262816.   952884.   715819.
   900800.   944537.  1479177.    97113.   596591.  1718385.]",[2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2018 2019]
"Abbotsford, British Columbia",[36008.],[2017]
"Abbotsford, British Columbia|Abbotsford, Colombie-Britannique",[185576.  30631.  45838.],[2016 2017 2018]
Abercrombie,[1388.],[2019]
Aberdeen,[2631.],[2018]
Abernethy,[ 8311. 24413.],[2018 2019]
Abram-Village,[3234.],[2018]
Acadia Valley,[ 6528. 18400.],[2018 2019]
Acadieville,[4653. 3147.],[2018 2019]
Acheson,[ 3264. 10500.],[2018 2019]
Acme,[20029. 18300.],[2018 2019]
Acton,[159744.  13877.],[2016 2018]
Acton Vale,[139100. 111664.  89087. 324971. 513198.  40673.  42370.  97720.],[2006 2007 2008 2010 2011 2015 2018 2019]
"Acton, Ontario",[50000.],[2018]
Addison,[3360.],[2018]
Adstock,[19142. 60292.],[2018 2019]
Advocate Harbour,[6380. 6122.],[2018 2019]
Afton,[6872.],[2018]
Afton Station,[312624.  10833.],[2015 2019]
Agassiz,[ 147397.  144784.  188477. 1975231.   50000. 3180724.  202947.],[2006 2007 2008 2012 2015 2018 2019]
Aguanish,[3551. 9598.],[2018 2019]
Aguathuna,[9165.],[2019]
Ahousaht,[ 6072. 22055.],[2018 2019]
Ailsa Craig,[50000. 31987.],[2010 2018]
Air Ronge,[64140.  1316.  1549.],[2007 2018 2019]
Airdrie,[ 38285. 304238. 168066. 169546.],[2015 2016 2018 2019]
"Airdrie, Alberta",[35136.],[2017]
Ajax,"[ 83643. 101035.  25492.  71553. 163744.  32786.  33622.  34307. 299023.
 750406. 106909.]",[2007 2009 2010 2011 2012 2013 2014 2015 2016 2018 2019]
"Ajax, Ontario",[359001.],[2017]
Aklavik,[16064.],[2018]
Akwesasne,[15188.],[2018]
"Akwesasne, Ontario",[700000.],[2017]
Alban,[11866.],[2018]
Albanel,[16281. 57276.],[2018 2019]
Albany,[35360.  3817. 32425.],[2006 2018 2019]
Albert Bridge,[8192. 8464.],[2018 2019]
Alberta Beach,[7418. 8295.],[2018 2019]
Alberton,"[213893.  72366. 351686.  70067. 209569. 322146.  98201.  96739. 131863.
 172679. 166537.  42556. 147918.]",[2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2018 2019]
"Alberton, Prince Edward Island|Alberton, Île-du-Prince-Édouard",[613842.],[2017]
Alcida,[3514. 3081.],[2018 2019]
Alcove,[3500.],[2019]
Aldergrove,[ 96352. 141971.],[2018 2019]
Alderwood,[1183. 1208.],[2018 2019]
Alert Bay,[ 6077. 21588.],[2018 2019]
Alexander,[1591.],[2019]
Alexandria,[70025.],[2018]
Alexis Creek,[33881.],[2019]
Alfred,[ 26220.  36601. 117848.  31618.      0.],[2007 2013 2014 2018 2019]
Algonquin Highlands,[32500. 24848. 51690.],[2015 2018 2019]
"Algonquin Highlands, Ontario",[43875.],[2017]
Alida,[ 6094. 28782.],[2018 2019]
Alix,[3264. 4200.],[2018 2019]
All Newfoundland and Labrador,[0.],[2019]
Allan,[5263. 5954.],[2018 2019]
Allardville,[1380. 1380.],[2018 2019]
Allenford,[41265.  5040.     0.],[2010 2018 2019]
Alleyn-et-Cawood,[2471.],[2018]
Alliston,[ 48184.  33055. 162605.  83919.],[2012 2016 2018 2019]
"Alliston, Ontario",[41738.],[2017]
Alma,"[ 793828.  134338.  255598.   45849.  494475.  280719.  407060.   89582.
  503699.  271266.  308730.  332956. 1266188.]",[2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2018 2019]
"Alma, Quebec|Alma, Québec",[255818.],[2017]
Almonte,[50000. 34239. 30470. 59004.],[2008 2011 2014 2018]
Alouette,[31866.],[2019]
Altona,[27923. 33208. 33515. 29487. 11560. 63468.],[2006 2007 2008 2010 2018 2019]
Alvinston,[9392.],[2019]
Amaranth,[10080.],[2018]
Ameliasburgh,[5477.],[2018]
Amherst,[292996.  93432. 236738. 100852. 338010.  83711.  89583. 111612. 164163.],[2006 2007 2008 2009 2010 2013 2015 2018 2019]
Amherst Shore,[1320.],[2018]
Amherstburg,[282172.  48356.  53373. 105373.],[2010 2015 2016 2018]
"Amherstburg, Ontario",[29374.],[2017]
Amherstview,[8190.],[2018]
Amman,[315000.],[2014]
Amos,"[114498.  25594. 244205.  94169.  31088.  98949. 169519.  97092. 128080.
  83782. 243056.]",[2006 2007 2008 2009 2010 2011 2012 2013 2016 2018 2019]
"Amos, Quebec|Amos, Québec",[113082.],[2017]
Amqui,[122861. 129851. 110937.  49985. 292200. 168008.  80876.  66727. 256638.],[2006 2007 2008 2009 2010 2011 2012 2018 2019]
"Amqui, Quebec|Amqui, Québec",[90000.],[2018]
Anahim Lake,[2660. 4852.],[2018 2019]
Ancaster,"[ 42010.  39000.  36574.  68084.  63767.  58037.  55486.  26270.  25110.
 106841. 238221.]",[2006 2007 2008 2009 2010 2011 2012 2013 2014 2016 2018]
"Ancaster, Ontario",[ 46966. 285201.],[2017 2018]
Anchor Point,[3243. 3871.],[2018 2019]
Ancienne-Lorette,[15934.],[2019]
Anderson Road,[25000.],[2019]
Andrew,[3264. 4200.],[2018 2019]
Ange-Gardien,[ 7560. 17500.],[2018 2019]
Angliers,[13175. 56703.],[2018 2019]
Angus,[21907.  4430.],[2018 2019]
Anjou,[148830.  89569. 383472. 255405. 586763.],[2006 2012 2016 2018 2019]
"Anjou, Quebec|Anjou, Québec",[578916.],[2017]
Annaheim,[ 1316. 19806.],[2018 2019]
Annapolis Royal,[ 29509.  30012.  45000.  29823.  42223. 101493.],[2006 2007 2008 2010 2018 2019]
Anse Bleue,[7192.],[2019]
Anse des Belliveau,[6190.],[2019]
Anse-Bleue,[3076.],[2018]
Antigonish,[ 339269.  238243.  202632.   25542. 1297817.  197193.  235669.],[2006 2007 2008 2009 2011 2018 2019]
Antigonish County,[9512.],[2018]
"Antigonish, Nova Scotia|Antigonish, Nouvelle-Écosse",[ 26064. 110792.],[2017 2018]
Apohaqui,[4551. 5934.],[2018 2019]
Appin,[3360.],[2018]
Appleton,[8956. 9165.],[2018 2019]
Apsley,[8400.],[2018]
Arborfield,[ 9208. 10840.],[2018 2019]
Arborg,[32908. 45956.],[2018 2019]
Arcadia,[1540. 2775.],[2018 2019]
Archerwill,[1316.],[2018]
Arcola,[2302. 1549.],[2018 2019]
"Arden, Ontario",[41664.],[2017]
Ardrossan,[33085. 10500.],[2018 2019]
Argyle,[77510. 17551.],[2008 2019]
Arichat,[46790. 87291.],[2018 2019]
Arichat ,[6872.],[2018]
Arisaig,[4976. 3611.],[2018 2019]
Ariss,[3797.],[2018]
Arkell,[50000.],[2008]
Arkona,[11760.],[2018]
Armagh,[ 7022. 18468.],[2018 2019]
Armena,[1632. 2100.],[2018 2019]
Armstrong,[  62000. 1278818.   50451.   76271.   70253.],[2011 2012 2015 2018 2019]
