,ref_number,recipient_legal_name,recipient_city,prog_name_en,prog_purpose_en,agreement_title_en,agreement_number,agreement_value,agreement_start_date,agreement_end_date,description_en,expected_results_en,additional_information_en,owner_org_title
2007,235-2018-2019-Q3-00057,British Columbia Agriculture,Victoria,Agri-Recovery- Business Risk Management,"AgriRecovery Framework - The 2018 Canada-British Columbia Wildfires Recovery Initiative - assists agricultural producers with the extraordinary costs to mitigate, or to recover from, the adverse effects of the 2018 wildfires.",2018 Canada-British Columbia Wildfires Recovery Initiative,2018 CA-BC Wildfires,3000000,4/1/18,3/31/21,"AgriRecovery Framework - The 2018 Canada-British Columbia Wildfires Recovery Initiative - assists agricultural producers with the extraordinary costs to mitigate, or to recover from, the adverse effects of the 2018 wildfires.",,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2610,235-2018-2019-Q4-00128,British Columbia - Ministry of Agriculture,Victoria,Agri-Risk - Western Livestock Price Insurance Program,To provide time limited funding to support the implementation and Administration Costs of the Western Livestock Price Insurance Program (WLPIP).,Western Livestock Price Insurance Program,ARI-WLPIP-BC 2018-2023,770404,4/1/18,3/31/23,To provide time limited funding to support the implementation and Administration Costs of the Western Livestock Price Insurance Program.,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2612,235-2018-2019-Q4-00129,"Manitoba Agriculture, Food and Rural Development",Winnipeg,Agri-Risk - Western Livestock Price Insurance Program,To provide time limited funding to support the implementation and Administration Costs of the Western Livestock Price Insurance Program.,Western Livestock Price Insurance Program,ARI-WLPIP-MB 2018-2023,1738953,4/1/18,3/31/23,To provide time limited funding to support the implementation and Administration Costs of the Western Livestock Price Insurance Program.,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2613,235-2018-2019-Q4-00130,Saskatchewan Crop Insurance Corporation,Melville,Agri-Risk - Western Livestock Price Insurance Program,To provide time limited funding to support the implementation and Administration Costs of the Western Livestock Price Insurance Program.,Western Livestock Price Insurance Program,ARI-WLPIP-SK-2018-2023,3603314,4/1/18,3/31/23,To provide time limited funding to support the implementation and Administration Costs of the Western Livestock Price Insurance Program.,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
165,GC-2017-Q3-00019,Chicken Farmers of Ontario,"Burlington, 
Ontario",Agri-Risk Initiatives Program,The AgriRisk Initiatives (ARI) program supports the research and development as well as the implementation and administration of new risk management tools for use in the agriculture sector.,Sustaining the Poultry Industry in the Face of Infectious Disease Outbreaks Utilizing Movement Permits and Risk Transfer Programs,16118-ARI-IAR-2014 Amnd #1,473700,10/26/17,,,,"This entry reflects an increase of $174,900.00
Previously disclosed in the 2nd quarter of 2016-2017",Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
164,GC-2017-Q3-00018,Quebec Farmers' Association,"Alcove, 
Quebec|Alcove, 
Québec",Agri-Risk Initiatives Program,The AgriRisk Initiatives (ARI) program supports the research and development as well as the implementation and administration of new risk management tools for use in the agriculture sector.,Nunavik Agri-Food Development Project,29023-ARI-IAR-2017,464051,11/15/17,,,,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2697,235-2019-2020-Q2-00005,Canadian Pork Council,Ottawa,Agri-Risk Initiatives Program,The AgriRisk Initiatives (ARI) program supports the research and development as well as the implementation and administration of new risk management tools for use in the agriculture sector.,Made-In Canada Hog Price,ARI-IAR-RD-14,75000,4/4/19,12/31/19,"The objective of this project is to gain a better understanding of what determines hog prices in domestic markets and develop a set of market indicators that could be used to create a ""Made-in-Canada"" price for live hogs and pork meat (carcass cut-out).",New financial tools developed,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2728,235-2019-2020-Q2-00006,Farm Management Canada,Ottawa,Agri-Risk Initiatives Program,The AgriRisk Initiatives (ARI) program supports the research and development as well as the implementation and administration of new risk management tools for use in the agriculture sector.,Taking a comprehensive approach to managing farm risk,ARI-IAR-RD-19,1891650,6/27/19,12/31/22,The objective of this project is for Farm Management Canada (FMC) to provide risk management training and education to producers and industry professionals that promote a comprehensive approach to assessing and managing risk in agriculture.,Other risk management tools developed,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2729,235-2019-2020-Q2-00007,Manitoba Pork Council,Winnipeg,Agri-Risk Initiatives Program,The AgriRisk Initiatives (ARI) program supports the research and development as well as the implementation and administration of new risk management tools for use in the agriculture sector.,Development of Risk Management Tools to Address Financial Risks Associated with an Outbreak of Disease and Fluctuating Hog Price in Manitoba,ARI-IAR-RD-25,482158,6/3/19,3/31/21,The objective of this project is to develop an insurance solution that will provide Manitoba hog producers with coverage from consequential and direct losses associated with an outbreak of animal diseases.,Other risk management tools developed,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2730,235-2019-2020-Q2-00008,Grain Farmers of Ontario,Guelph,Agri-Risk Initiatives Program,The AgriRisk Initiatives (ARI) program supports the research and development as well as the implementation and administration of new risk management tools for use in the agriculture sector.,Grain and Oilseed Gross Margin Product,ARI-IAR-RD-20,419900,4/16/19,3/31/20,The objective of this project is to fully develop and implement a gross margin product to cover producers experiencing margin declines in the 15 to 30 percent range that will work in conjunction with existing crop insurance products.,New financial tools developed,,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
