,ref_number,recipient_legal_name,recipient_city,prog_name_en,prog_purpose_en,agreement_title_en,agreement_number,agreement_value,agreement_start_date,agreement_end_date,description_en,expected_results_en,additional_information_en,owner_org_title
39946,1920-CN-000049,TOWN OF HAY RIVER,HAY RIVER,Canadian Experiences Fund,"Support communities across Canada as they create, improve or enhance tourism products, facilities and experiences.",Tourism Enhancements and Destination Marketing Strategy,1920-CN-000049,76000,4/26/19,3/31/20,"The Town of Hay River will complete a five-year destination marketing strategy, upgrades to the Trans Canada Trail and associated interpretive signs, and the development of a highway billboard promoting Hay River.",This project will allow the Town of Hay River to improve its tourism infrastructure and develop a marketing strategy to increase visitation. The project is expected to result in the creation of three short-term jobs over the life of the project.,,Canadian Northern Economic Development Agency | Agence canadienne de développement économique du Nord
39941,1920-CN-000040,HAMLET OF FORT McPHERSON,FORT MCPHERSON,Canadian Experiences Fund,"Support communities across Canada as they create, improve or enhance tourism products, facilities and experiences.",Hamlet of Fort McPherson Campground,1920-CN-000040,300000,4/3/19,3/31/20,An infrastructure improvement project to build a campground (overnight camping facility) in the community.,"As a result of the project, the community will have improved its seasonal recreational infrastructure, which will impact the local tourism sector positively. The campground project is expected to create two to four part-time seasonal jobs (campground attendants) and maintain two community jobs.",,Canadian Northern Economic Development Agency | Agence canadienne de développement économique du Nord
39943,1920-CN-000042,PEHDZEH KI FIRST NATION,WRIGLEY,Canadian Experiences Fund,"Support communities across Canada as they create, improve or enhance tourism products, facilities and experiences.",Pehdzeh Ki First Nation Visitor Information Centre,1920-CN-000042,10000,4/26/19,3/31/20,Pehdzeh Ki First Nation will purchase a pre-constructed building kit which will be transported to Wrigley and assembled locally to become the community’s new Visitor Information Centre (VIC). ,"As a result of the project, PKFN will be positioned to better serve both boat and highway tourist traffic in the region, provide a convenient rest-stop for travelers, including outdoor adventurists and fishers/hunters looking to explore remote locations near the First Nation. The project is expected to create seven seasonal part-time jobs and maintain two existing jobs.",,Canadian Northern Economic Development Agency | Agence canadienne de développement économique du Nord
39944,1920-CN-000043,NE'RAHTEN DEVELOPMENT LTD.,FORT GOODHOPE,Canadian Experiences Fund,"Support communities across Canada as they create, improve or enhance tourism products, facilities and experiences.",Fort Good Hope Hotel,1920-CN-000043,390800,8/13/19,3/31/21,Business planning and enginerring development of a 10 bed hotel in Fort Good Hope,Construction of the first hotel in the community,,Canadian Northern Economic Development Agency | Agence canadienne de développement économique du Nord
39917,1920-CN-000048,TOWN OF INUVIK,INUVIK,Canadian Experiences Fund,"Support communities across Canada as they create, improve or enhance tourism products, facilities and experiences.",Chief Jim Koe Park,1920-CN-000048,475000,8/13/19,3/31/21,The Town of Inuvik will complete a two-year project to undertake upgrades and renovations to the Chief Jim Koe Park,This project is expected to result in the creation of nineteen jobs: sixteen short term positions during the construction phase and three permanent positions for on-going park maintenance and operations,,Canadian Northern Economic Development Agency | Agence canadienne de développement économique du Nord
39945,1920-CN-000047,TOURISM TULITA INCORPORATED,TULITA,Canadian Experiences Fund,"Support communities across Canada as they create, improve or enhance tourism products, facilities and experiences.",Biomass Heated Chalets,1920-CN-000047,280000,8/13/19,3/31/21,Construction of six biomass heated chatels in Tulita,The project will create 16 short term employment opportunities during construction and three long term positions to operate and maintain the facilities,,Canadian Northern Economic Development Agency | Agence canadienne de développement économique du Nord
39947,1920-CN-000052,INDIGENOUS TOURISM ASSOCIATION OF CANADA,Vancouver,Canadian Experiences Fund,"Support communities across Canada as they create, improve or enhance tourism products, facilities and experiences.",Destination Indigenous Tourism Development,1920-CN-000052,375000,5/5/19,3/31/21,"Develop and grow authentic Indigenous tourism in the North through marketing, business development and culinary experiences.",The project is expected to increase awareness of Indigenous experiences and improve the overall market and export-readiness of indigenous tourism businesses in the territories and increase the number of indigenous tourism businesses and tourism jobs in the territories. ,,Canadian Northern Economic Development Agency | Agence canadienne de développement économique du Nord
39952,1920-CN-000059,TLICHO GOVERNMENT,RAE-EDZO,Canadian Experiences Fund,"Support communities across Canada as they create, improve or enhance tourism products, facilities and experiences.",Tlicho Region Tourism Development,1920-CN-000059,104000,8/29/19,3/31/20,"The project will support the creation of a tourism-focused website, marketing strategy and database to track tourism businesses and related skilled labour.","As a result of this project, the Tlicho Government will have digital tools ready to assist the communities in marketing and promoting their tourism products, culture, and heritage.",,Canadian Northern Economic Development Agency | Agence canadienne de développement économique du Nord
39709,GC-2018-Q2-0004,City of Yellowknife|Ville de Yellowknife,Yellowknife,Community Infrastructure Program,,,,280000,7/12/17,,Description (English),,,Canadian Northern Economic Development Agency | Agence canadienne de développement économique du Nord
39763,GC-2018-Q4-0015,Village of Carmacks|Village de Carmacks,Carmacks,Community Infrastructure Program,,,,363806,2/13/18,,Description (English),,"Restatement of Award: Total value of award changed from $400,239.00 to $363,806.00.",Canadian Northern Economic Development Agency | Agence canadienne de développement économique du Nord
