,ref_number,recipient_legal_name,recipient_city,prog_name_en,prog_purpose_en,agreement_title_en,agreement_number,agreement_value,agreement_start_date,agreement_end_date,description_en,expected_results_en,additional_information_en,owner_org_title
80354,003-2019-2020-Q2-00003,Jahnavi Shah,London|London,"Class Grant and Contribution Program to Support Research, Awareness and Learning in Space Science and Technology - Learning","This program supports knowledge development and innovation in the CSA's priority areas while increasing the awareness and participation of Canadians in space-related disciplines and activities.<br/> 
The Awareness and Learning Component aims to provide learning opportunities to Canadian students in various space-related disciplines; to support the operations of organizations dedicated to space research and education; and to increase awareness of Canadian space science and technology among Canadian students and their participation in related activities.","IAC03 - Shah, Jahnavi",19IACSHAH,4000,8/16/19,11/29/19,"Student’s participation in the conference “International Astronautical Congress (IAC 2019)”, world premier global space event of the International Astronautical Federation's (IAF), in the activities organized by the 'International Space Education Board' (ISEB), and in the Space Generation Congress (SGC 2019) held in Washington D.C., É.-U. For students, it is an opportunity to learn more about the future of the great space adventure, to develop their international network and to present their research at the highest professional level.","-Increased knowledge and skills in space-related disciplines among target audience, ex. International conferences (number and type of learning events attended)<br/>
-Target audience reached through learning activities and materials related to science and technology (number of persons reached by audience segments)","This grant is awarded under the Science, Technology and Expertise Development in Academia (STEDiA) initiative of the Space Capacity Development Program (SCDP).",Canadian Space Agency | Agence spatiale canadienne
80355,003-2019-2020-Q2-00004,Marzieh Mehri Dehnavi,Montreal|Montréal,"Class Grant and Contribution Program to Support Research, Awareness and Learning in Space Science and Technology - Learning","This program supports knowledge development and innovation in the CSA's priority areas while increasing the awareness and participation of Canadians in space-related disciplines and activities.<br/> 
The Awareness and Learning Component aims to provide learning opportunities to Canadian students in various space-related disciplines; to support the operations of organizations dedicated to space research and education; and to increase awareness of Canadian space science and technology among Canadian students and their participation in related activities.","IAC07- Mehri Dehnavi, Marzieh",19IACMEHRI,3300,8/2/19,11/29/19,"Student’s participation in the conference “International Astronautical Congress (IAC 2019)”, world premier global space event of the International Astronautical Federation's (IAF), and in the activities organized by the 'International Space Education Board' (ISEB) held in Washington D.C., É.-U. For students, it is an opportunity to learn more about the future of the great space adventure, to develop their international network and to present their research at the highest professional level.","-Increased knowledge and skills in space-related disciplines among target audience, ex. International conferences (number and type of learning events attended)<br/>
-Target audience reached through learning activities and materials related to science and technology (number of persons reached by audience segments)","This grant is awarded under the Science, Technology and Expertise Development in Academia (STEDiA) initiative of the Space Capacity Development Program (SCDP).",Canadian Space Agency | Agence spatiale canadienne
80357,003-2019-2020-Q2-00005,Alina Kunitskaya,Vancouver|Vancouver,"Class Grant and Contribution Program to Support Research, Awareness and Learning in Space Science and Technology - Learning","This program supports knowledge development and innovation in the CSA's priority areas while increasing the awareness and participation of Canadians in space-related disciplines and activities.<br/> 
The Awareness and Learning Component aims to provide learning opportunities to Canadian students in various space-related disciplines; to support the operations of organizations dedicated to space research and education; and to increase awareness of Canadian space science and technology among Canadian students and their participation in related activities.","IAC09 - Kunitskaya, Alina",19IACKUNIT,4050,8/2/19,11/29/19,"Student’s participation in the conference “International Astronautical Congress (IAC 2019)”, world premier global space event of the International Astronautical Federation's (IAF), in the activities organized by the 'International Space Education Board' (ISEB), and in the Space Generation Congress (SGC 2019) held in Washington D.C., É.-U. For students, it is an opportunity to learn more about the future of the great space adventure, to develop their international network and to present their research at the highest professional level.","-Increased knowledge and skills in space-related disciplines among target audience, ex. International conferences (number and type of learning events attended)<br/>
-Target audience reached through learning activities and materials related to science and technology (number of persons reached by audience segments)","This grant is awarded under the Science, Technology and Expertise Development in Academia (STEDiA) initiative of the Space Capacity Development Program (SCDP).",Canadian Space Agency | Agence spatiale canadienne
80359,003-2019-2020-Q2-00006,Sawyer Brody Rempel,Winnipeg|Winnipeg,"Class Grant and Contribution Program to Support Research, Awareness and Learning in Space Science and Technology - Learning","This program supports knowledge development and innovation in the CSA's priority areas while increasing the awareness and participation of Canadians in space-related disciplines and activities.<br/> 
The Awareness and Learning Component aims to provide learning opportunities to Canadian students in various space-related disciplines; to support the operations of organizations dedicated to space research and education; and to increase awareness of Canadian space science and technology among Canadian students and their participation in related activities.","IAC10 - Rempel, Sawyer Brody",19IACREMPE,4150,9/5/19,11/29/19,"Student’s participation in the conference “International Astronautical Congress (IAC 2019)”, world premier global space event of the International Astronautical Federation's (IAF), in the activities organized by the 'International Space Education Board' (ISEB), and in the Space Generation Congress (SGC 2019) held in Washington D.C., É.-U. For students, it is an opportunity to learn more about the future of the great space adventure, to develop their international network and to present their research at the highest professional level.","-Increased knowledge and skills in space-related disciplines among target audience, ex. International conferences (number and type of learning events attended)<br/>
-Target audience reached through learning activities and materials related to science and technology (number of persons reached by audience segments)","This grant is awarded under the Science, Technology and Expertise Development in Academia (STEDiA) initiative of the Space Capacity Development Program (SCDP).",Canadian Space Agency | Agence spatiale canadienne
80361,003-2019-2020-Q2-00007,Corey Samuel Miles,Montreal|Montréal,"Class Grant and Contribution Program to Support Research, Awareness and Learning in Space Science and Technology - Learning","This program supports knowledge development and innovation in the CSA's priority areas while increasing the awareness and participation of Canadians in space-related disciplines and activities.<br/> 
The Awareness and Learning Component aims to provide learning opportunities to Canadian students in various space-related disciplines; to support the operations of organizations dedicated to space research and education; and to increase awareness of Canadian space science and technology among Canadian students and their participation in related activities.","IAC14 - Miles, Corey Samuel",19IACMILES,3300,8/2/19,11/29/19,"Student’s participation in the conference “International Astronautical Congress (IAC 2019)”, world premier global space event of the International Astronautical Federation's (IAF), and in the activities organized by the 'International Space Education Board' (ISEB) held in Washington D.C., É.-U. For students, it is an opportunity to learn more about the future of the great space adventure, to develop their international network and to present their research at the highest professional level.","-Increased knowledge and skills in space-related disciplines among target audience, ex. International conferences (number and type of learning events attended)<br/>
-Target audience reached through learning activities and materials related to science and technology (number of persons reached by audience segments)","This grant is awarded under the Science, Technology and Expertise Development in Academia (STEDiA) initiative of the Space Capacity Development Program (SCDP).",Canadian Space Agency | Agence spatiale canadienne
80375,003-2019-2020-Q2-00010,Kristen Grace Cote,Toronto|Toronto,"Class Grant and Contribution Program to Support Research, Awareness and Learning in Space Science and Technology - Learning","This program supports knowledge development and innovation in the CSA's priority areas while increasing the awareness and participation of Canadians in space-related disciplines and activities.<br/> 
The Awareness and Learning Component aims to provide learning opportunities to Canadian students in various space-related disciplines; to support the operations of organizations dedicated to space research and education; and to increase awareness of Canadian space science and technology among Canadian students and their participation in related activities.","IAC17 - Cote, Kristen Grace",19IACCOTE,3900,8/2/19,11/29/19,"Student’s participation in the conference “International Astronautical Congress (IAC 2019)”, world premier global space event of the International Astronautical Federation's (IAF), in the activities organized by the 'International Space Education Board' (ISEB), and in the Space Generation Congress (SGC 2019) held in Washington D.C., É.-U. For students, it is an opportunity to learn more about the future of the great space adventure, to develop their international network and to present their research at the highest professional level.","-Increased knowledge and skills in space-related disciplines among target audience, ex. International conferences (number and type of learning events attended)<br/>
-Target audience reached through learning activities and materials related to science and technology (number of persons reached by audience segments)","This grant is awarded under the Science, Technology and Expertise Development in Academia (STEDiA) initiative of the Space Capacity Development Program (SCDP).",Canadian Space Agency | Agence spatiale canadienne
80407,003-2019-2020-Q2-00002,Charles-Frédérick Gauthier,Sherbrooke|Sherbrooke,"Class Grant and Contribution Program to Support Research, Awareness and Learning in Space Science and Technology - Learning","This program supports knowledge development and innovation in the CSA's priority areas while increasing the awareness and participation of Canadians in space-related disciplines and activities.<br/> 
The Awareness and Learning Component aims to provide learning opportunities to Canadian students in various space-related disciplines; to support the operations of organizations dedicated to space research and education; and to increase awareness of Canadian space science and technology among Canadian students and their participation in related activities.","IAC02 - Gauthier, Charles-Frédérick",19IACGAUTH,3300,8/7/19,11/29/19,"Student’s participation in the conference “International Astronautical Congress (IAC 2019)”, world premier global space event of the International Astronautical Federation's (IAF), and in the activities organized by the 'International Space Education Board' (ISEB) held in Washington D.C., É.-U. For students, it is an opportunity to learn more about the future of the great space adventure, to develop their international network and to present their research at the highest professional level.","-Increased knowledge and skills in space-related disciplines among target audience, ex. International conferences (number and type of learning events attended)<br/>
-Target audience reached through learning activities and materials related to science and technology (number of persons reached by audience segments)","This grant is awarded under the Science, Technology and Expertise Development in Academia (STEDiA) initiative of the Space Capacity Development Program (SCDP).",Canadian Space Agency | Agence spatiale canadienne
80408,003-2019-2020-Q2-00008,Abraham Sanjay,Winnipeg|Winnipeg,"Class Grant and Contribution Program to Support Research, Awareness and Learning in Space Science and Technology - Learning","This program supports knowledge development and innovation in the CSA's priority areas while increasing the awareness and participation of Canadians in space-related disciplines and activities.<br/> 
The Awareness and Learning Component aims to provide learning opportunities to Canadian students in various space-related disciplines; to support the operations of organizations dedicated to space research and education; and to increase awareness of Canadian space science and technology among Canadian students and their participation in related activities.","IAC15 - Sanjay, Abraham",19IACSANJA,3350,8/16/19,11/29/19,"Student’s participation in the conference “International Astronautical Congress (IAC 2019)”, world premier global space event of the International Astronautical Federation's (IAF), and in the activities organized by the 'International Space Education Board' (ISEB) held in Washington D.C., É.-U. For students, it is an opportunity to learn more about the future of the great space adventure, to develop their international network and to present their research at the highest professional level.","-Increased knowledge and skills in space-related disciplines among target audience, ex. International conferences (number and type of learning events attended)<br/>
-Target audience reached through learning activities and materials related to science and technology (number of persons reached by audience segments)","This grant is awarded under the Science, Technology and Expertise Development in Academia (STEDiA) initiative of the Space Capacity Development Program (SCDP).",Canadian Space Agency | Agence spatiale canadienne
80409,003-2019-2020-Q2-00009,Annaliese Charlotte Spence Meyer,Victoria|Victoria,"Class Grant and Contribution Program to Support Research, Awareness and Learning in Space Science and Technology - Learning","This program supports knowledge development and innovation in the CSA's priority areas while increasing the awareness and participation of Canadians in space-related disciplines and activities.<br/> 
The Awareness and Learning Component aims to provide learning opportunities to Canadian students in various space-related disciplines; to support the operations of organizations dedicated to space research and education; and to increase awareness of Canadian space science and technology among Canadian students and their participation in related activities.","IAC16 - Meyer, Annaliese Charlotte Spence",19IACMEYER,4050,8/7/19,11/29/19,"Student’s participation in the conference “International Astronautical Congress (IAC 2019)”, world premier global space event of the International Astronautical Federation's (IAF), in the activities organized by the 'International Space Education Board' (ISEB), and in the Space Generation Congress (SGC 2019) held in Washington D.C., É.-U. For students, it is an opportunity to learn more about the future of the great space adventure, to develop their international network and to present their research at the highest professional level.","-Increased knowledge and skills in space-related disciplines among target audience, ex. International conferences (number and type of learning events attended)<br/>
-Target audience reached through learning activities and materials related to science and technology (number of persons reached by audience segments)","This grant is awarded under the Science, Technology and Expertise Development in Academia (STEDiA) initiative of the Space Capacity Development Program (SCDP).",Canadian Space Agency | Agence spatiale canadienne
80410,003-2019-2020-Q2-00014,Vidushi Jain,Toronto|Toronto,"Class Grant and Contribution Program to Support Research, Awareness and Learning in Space Science and Technology - Learning","This program supports knowledge development and innovation in the CSA's priority areas while increasing the awareness and participation of Canadians in space-related disciplines and activities.<br/> 
The Awareness and Learning Component aims to provide learning opportunities to Canadian students in various space-related disciplines; to support the operations of organizations dedicated to space research and education; and to increase awareness of Canadian space science and technology among Canadian students and their participation in related activities.","IAC22 - Jain, Vidushi",19IACJAIN,3200,8/7/19,11/29/19,"Student’s participation in the conference “International Astronautical Congress (IAC 2019)”, world premier global space event of the International Astronautical Federation's (IAF), and in the activities organized by the 'International Space Education Board' (ISEB) held in Washington D.C., É.-U. For students, it is an opportunity to learn more about the future of the great space adventure, to develop their international network and to present their research at the highest professional level.","-Increased knowledge and skills in space-related disciplines among target audience, ex. International conferences (number and type of learning events attended)<br/>
-Target audience reached through learning activities and materials related to science and technology (number of persons reached by audience segments)","This grant is awarded under the Science, Technology and Expertise Development in Academia (STEDiA) initiative of the Space Capacity Development Program (SCDP).",Canadian Space Agency | Agence spatiale canadienne
