,ref_number,recipient_legal_name,recipient_city,prog_name_en,prog_purpose_en,agreement_title_en,agreement_number,agreement_value,agreement_start_date,agreement_end_date,description_en,expected_results_en,additional_information_en,owner_org_title
94238,GC-2016-Q4-00001,ACCELERATING SUSTAINABILITY EVENTS MANAGEMENT,"Ottawa, Ontario",,Globe Series:  Globe Capital 2017 and Financial Sector Engagement Sessions ,,GCXE17P191,131000,3/28/17,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94239,GC-2016-Q4-00002,ATLANTIC POLICY CONGRESS OF FIRST NATION CHIEFS SECRETARIAT,"Dartmouth, Nova Scotia|Dartmouth, Nouvelle-Écosse",,Atlantic Policy Congress of First Nation Chiefs Climate Change and Tech Career Symposium,,GCXE17P182,30000,1/9/17,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94240,GC-2016-Q4-00003,BC OIL AND GAS RESEARCH AND INNOVATION SOCIETY,"Victoria, British Columbia|Victoria, Colombie britannique",,Parker Woodland Caribou Habitat Restoration Project,,GCXE17C374,80000,3/20/17,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94241,GC-2016-Q4-00004,BRITISH COLUMBIA AGRICULTURAL RESEARCH AND DEVELOPMENT CORPORATION,"Abbotsford, British Columbia|Abbotsford, Colombie britannique",,"Species at Risk Conservation through the British Columbia Environmental Farm Plan, Years 3 to 5",,GCXE17C104,184000,3/9/17,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94242,GC-2016-Q4-00005,BRITISH COLUMBIA CATTLEMEN’S ASSOCIATION PROGRAM DELIVERY INC.,"Kamloops, British Columbia|Kamloops, Colombie britannique",,"Species at Risk Conservation on Ranchlands in British Columbia, Years 3 to 5",,GCXE17C105,240000,2/16/17,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94243,GC-2016-Q4-00006,CANADIAN COUNCIL OF MINISTERS OF THE ENVIRONMENT INC.,"Winnipeg, Manitoba",,Canadian Council of Ministers of the Environment (CCME),,GCXE17P188,1875000,3/9/17,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94244,GC-2016-Q4-00007,CANADIAN COUNCIL ON ECOLOGICAL AREAS,"Halifax, Nova Scotia|Halifax, Nouvelle-Écosse",,Protected areas data analysis and statistics for reporting nationaly and internationaly,,GCXE17C125,35000,3/3/17,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94245,GC-2016-Q4-00008,CANADIAN WILDLIFE FEDERATION,"Kanata, Ontario",,Training Canadians in Preventing and Responding to Marine Animal Emergencies,,GCXE17C372,40864,3/14/17,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94246,GC-2016-Q4-00009,CANARDS ILLIMITES CANADA,"Quebec, Quebec|Québec, Québec",,Wetland Enhancement and Science in Québec Lowlands,,GCXE17C083,485000,1/10/17,,,,Multi-year agreement.  Project funded by multiple federal departments and/or agencies.,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94247,GC-2016-Q4-00010,CHIEFS OF ONTARIO,"Toronto, Ontario",,Meeting on Great Lakes water quality issues with First Nations,,GCXE17P189,75000,3/3/17,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94248,GC-2016-Q4-00011,CIEL ET TERRE,"Longueuil, Quebec|Longueuil, Québec",,Survival in the wild of specimens of the Western Chorus Frog (Pseudacris),,GCXE17C370,53800,1/24/17,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94249,GC-2016-Q4-00012,CLEAN FOUNDATION,"Dartmouth, Nova Scotia|Dartmouth, Nouvelle-Écosse",,Building Climate Change Capacity in Youth: The Youth Corps for Atlantic Region,,GCXE17P184,50000,1/25/17,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94250,GC-2016-Q4-00013,CLUB TECHNO-CHAMP 2000,"Napierville, Quebec|Napierville, Québec",,"Solutions Adapted to Agricultural Areas to Improve Copper Redhorse Habitats, Rivière L'Acadie",,GCXE17C183,33000,3/1/17,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94251,GC-2016-Q4-00014,CLUB VTT DES ÎLES-DE-LA-MADELEINE INC.,"Cap-Aux-Meules, Quebec|Cap-Aux-Meules, Québec",,Project to build marked trails at Pointe-de-l’Est National Wildlife Area in order to promote the conservation of Species at Risk.,,GCXE17C244,75000,2/27/17,,,,Multi-year agreement,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94252,GC-2017-Q2-00005,AMBIOTERRA,"SAINT-CHRYSOSTOME, QC",,Corridors verts et bleus dans la Vallée-du-Haut-Saint-Laurent,,GCXE18C158,48287,10/5/17,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
94253,GC-2017-Q2-00173,SWIILAWIID SUSTAINABILITY SOCIETY,"SKIDEGATE, BC",,Haida Gwaii Clean Energy Toolkit,,GCXE18P051,35000,8/22/17,,,,,Environment and Climate Change Canada | Environnement et Changement climatique Canada
