,ref_number,recipient_legal_name,recipient_city,prog_name_en,prog_purpose_en,agreement_title_en,agreement_number,agreement_value,agreement_start_date,agreement_end_date,description_en,expected_results_en,additional_information_en,owner_org_title
194552,GC-2019-Q2-00014,"Media Resources, Inc.",Oakville,Business Scale-Up,"To accelerate the growth of firms and assist with the adoption and adaptation of new, innovative technologies that support scale-up, productivity, development of and entry into new markets to help companies become globally competitive.",814526,814526,1452500,4/1/19,9/30/20,The purpose of this project is to accelerate the company?s growth by outfitting its new automated LED module manufacturing facility in Oakville with leading edge advanced manufacturing equipment.,"To achieve one or more of the following departmental results, i) Businesses in southern Ontario invest in the development and commercialization of innovative technologies, ii) Businesses in southern Ontario are innovative and growing; and iii) Communities are economically diversified in southern Ontario.",Agreement Type is C 2019/20 to 2020/21,Federal Economic Development Agency for Southern Ontario | Agence fédérale de développement économique pour le Sud de l'Ontario
194550,GC-2019-Q2-00012,Harmonic Medical Inc.,Burlington,Business Scale-Up,"To accelerate the growth of firms and assist with the adoption and adaptation of new, innovative technologies that support scale-up, productivity, development of and entry into new markets to help companies become globally competitive.",814686,814686,2151187,4/1/19,3/31/22,The purpose of the project is to support the commercial launch of Harmonic Medical's MR-guided focused ultrasound therapy platform and prepare for product/market expansion.,"To achieve one or more of the following departmental results, i) Businesses in southern Ontario invest in the development and commercialization of innovative technologies, ii) Businesses in southern Ontario are innovative and growing; and iii) Communities are economically diversified in southern Ontario.",Agreement Type is C 2019/20 to 2021/22,Federal Economic Development Agency for Southern Ontario | Agence fédérale de développement économique pour le Sud de l'Ontario
194551,GC-2019-Q2-00013,Shimco North America Inc.,Cambridge,Business Scale-Up,"To accelerate the growth of firms and assist with the adoption and adaptation of new, innovative technologies that support scale-up, productivity, development of and entry into new markets to help companies become globally competitive.",814604,814604,676354,2/13/19,12/31/21,"The project would include acquisition of equipment, facilities expansion, production testing, and execution of specific approval processes of OEM clients.","To achieve one or more of the following departmental results, i) Businesses in southern Ontario invest in the development and commercialization of innovative technologies, ii) Businesses in southern Ontario are innovative and growing; and iii) Communities are economically diversified in southern Ontario.",Agreement Type is C 2018/19 to 2021/22,Federal Economic Development Agency for Southern Ontario | Agence fédérale de développement économique pour le Sud de l'Ontario
194498,GC-2019-Q1-00072,Rockport Networks Inc.,Ottawa,Business Scale-Up,"To accelerate the growth of firms and assist with the adoption and adaptation of new, innovative technologies that support scale-up, productivity, development of and entry into new markets to help companies become globally competitive.",814508,814508,2906365,1/11/19,12/31/19,"The project is for activities relating to adapting and selling Rockport's core intellectual property, specifically, for the server market.","To achieve one or more of the following departmental results, i) Businesses in southern Ontario invest in the development and commercialization of innovative technologies, ii) Businesses in southern Ontario are innovative and growing; and iii) Communities are economically diversified in southern Ontario.",,Federal Economic Development Agency for Southern Ontario | Agence fédérale de développement économique pour le Sud de l'Ontario
194553,GC-2019-Q2-00015,Cyclica Inc.,Toronto,Business Scale-Up,"To accelerate the growth of firms and assist with the adoption and adaptation of new, innovative technologies that support scale-up, productivity, development of and entry into new markets to help companies become globally competitive.",814694,814694,2000000,3/20/19,7/1/21,The project supports Cyclica to accelerate the commercialization of its AI-powered drug discovery platform and scale-up its operations.,"To achieve one or more of the following departmental results, i) Businesses in southern Ontario invest in the development and commercialization of innovative technologies, ii) Businesses in southern Ontario are innovative and growing; and iii) Communities are economically diversified in southern Ontario.",Agreement Type is C 2018/19 to 2021/22,Federal Economic Development Agency for Southern Ontario | Agence fédérale de développement économique pour le Sud de l'Ontario
194442,GC-2019-Q1-00017,Axonify Inc.,Waterloo,Business Scale-Up,"To accelerate the growth of firms and assist with the adoption and adaptation of new, innovative technologies that support scale-up, productivity, development of and entry into new markets to help companies become globally competitive.",814687,814687,7260000,4/1/19,3/31/23,"The project is to scale-up growth substantially through productivity improvements, product development, and new vertical and geographic sales and market development.","To achieve one or more of the following departmental results, i) Businesses in southern Ontario invest in the development and commercialization of innovative technologies, ii) Businesses in southern Ontario are innovative and growing; and iii) Communities are economically diversified in southern Ontario.",,Federal Economic Development Agency for Southern Ontario | Agence fédérale de développement économique pour le Sud de l'Ontario
194554,GC-2019-Q2-00016,BioConnect Inc.,Toronto,Business Scale-Up,"To accelerate the growth of firms and assist with the adoption and adaptation of new, innovative technologies that support scale-up, productivity, development of and entry into new markets to help companies become globally competitive.",814710,814710,3900000,3/29/19,12/30/21,The project supports a cyber security firm with an innovative identity management solutions to commercialize its Digital Access Platform and scale-up its operations to expand into broader market.,"To achieve one or more of the following departmental results, i) Businesses in southern Ontario invest in the development and commercialization of innovative technologies, ii) Businesses in southern Ontario are innovative and growing; and iii) Communities are economically diversified in southern Ontario.",Agreement Type is C 2018/19 to 2021/22,Federal Economic Development Agency for Southern Ontario | Agence fédérale de développement économique pour le Sud de l'Ontario
194549,GC-2019-Q2-00011,2G Robotics Inc.,Waterloo,Business Scale-Up,"To accelerate the growth of firms and assist with the adoption and adaptation of new, innovative technologies that support scale-up, productivity, development of and entry into new markets to help companies become globally competitive.",814635,814635,1168000,4/1/19,3/31/22,The project consists of scale-up of marketing and sales activities and late stage development activities to add data ana,"To achieve one or more of the following departmental results, i) Businesses in southern Ontario invest in the development and commercialization of innovative technologies, ii) Businesses in southern Ontario are innovative and growing; and iii) Communities are economically diversified in southern Ontario.",Agreement Type is C 2019/20 to 2021/22,Federal Economic Development Agency for Southern Ontario | Agence fédérale de développement économique pour le Sud de l'Ontario
194555,GC-2019-Q2-00017,Nulogy Corporation,Toronto,Business Scale-Up,"To accelerate the growth of firms and assist with the adoption and adaptation of new, innovative technologies that support scale-up, productivity, development of and entry into new markets to help companies become globally competitive.",814697,814697,3429000,4/1/19,12/31/20,The project supports late-stage development and sales & marketing activities of a high-growth digital firm with an innovative supply chain management software platform for Consumer Packaged Goods.,"To achieve one or more of the following departmental results, i) Businesses in southern Ontario invest in the development and commercialization of innovative technologies, ii) Businesses in southern Ontario are innovative and growing; and iii) Communities are economically diversified in southern Ontario.",Agreement Type is C 2019/20 to 2020/21,Federal Economic Development Agency for Southern Ontario | Agence fédérale de développement économique pour le Sud de l'Ontario
194488,GC-2019-Q1-00062,Northern Transformer Corporation,Vaughan,Business Scale-Up,"To accelerate the growth of firms and assist with the adoption and adaptation of new, innovative technologies that support scale-up, productivity, development of and entry into new markets to help companies become globally competitive.",814629,814629,3000000,2/24/19,3/31/22,"The project is to support the adoption of First-in-Ontario ""vapour phase drying"" manufacturing technology to scale up production to seize new growth opportunities in global energy infrastructure markets.","To achieve one or more of the following departmental results, i) Businesses in southern Ontario invest in the development and commercialization of innovative technologies, ii) Businesses in southern Ontario are innovative and growing; and iii) Communities are economically diversified in southern Ontario.",,Federal Economic Development Agency for Southern Ontario | Agence fédérale de développement économique pour le Sud de l'Ontario
