,ref_number,recipient_legal_name,recipient_city,prog_name_en,prog_purpose_en,agreement_title_en,agreement_number,agreement_value,agreement_start_date,agreement_end_date,description_en,expected_results_en,additional_information_en,owner_org_title
93946,086-2019-2020-Q2-00101,Mi'kmaq Alsumk Mowimsikik  Koqoey Association I Mi'kmaq Alsumk Mowimsikik  Koqoey Association,Corner Brook|Corner Brook,Aboriginal Aquatic Resource and Oceans Management Program,"Support Indigenous groups as they develop, grow and maintain aquatic resource and oceans management departments that can provide fisheries, habitat, science, and oceans related services along a watershed.",,FP860-191007,504300,4/1/19,3/31/20,"Support Indigenous groups as they develop, grow and maintain aquatic resource and oceans management departments that can provide fisheries, habitat, science, and oceans related services along a watershed.",Improved relationships with and outcomes for Indigenous people,Belated,Fisheries and Oceans Canada | Pêches et Océans Canada
94022,086-2019-2020-Q2-00180,Scw'exmx Tribal Council (Formerly Nicola Tribal Association - Frafs) I Scw'exmx Tribal Council (Formerly Nicola Tribal Association - Frafs),Merritt|Merritt,Aboriginal Aquatic Resource and Oceans Management Program,"Support Indigenous groups as they develop, grow and maintain aquatic resource and oceans management departments that can provide fisheries, habitat, science, and oceans related services along a watershed.",,F1580-180425,1576335,7/10/18,3/31/23,"Support Indigenous groups as they develop, grow and maintain aquatic resource and oceans management departments that can provide fisheries, habitat, science, and oceans related services along a watershed.",Improved relationships with and outcomes for Indigenous people,,Fisheries and Oceans Canada | Pêches et Océans Canada
94021,086-2019-2020-Q2-00179,First Nations Fisheries Society I First Nations Fisheries Society,Vancouver|Vancouver,Aboriginal Aquatic Resource and Oceans Management Program,"Support Indigenous groups as they develop, grow and maintain aquatic resource and oceans management departments that can provide fisheries, habitat, science, and oceans related services along a watershed.",,F1580-170401,3191045.81,6/22/17,3/31/22,"Support Indigenous groups as they develop, grow and maintain aquatic resource and oceans management departments that can provide fisheries, habitat, science, and oceans related services along a watershed.",Improved relationships with and outcomes for Indigenous people,,Fisheries and Oceans Canada | Pêches et Océans Canada
93583,086-2019-2020-Q1-00026,National Indigenous Fisheries Institute|National Indigenous Fisheries Institute,Sydney|Sydney,Aboriginal Aquatic Resource and Oceans Management Program,"Support Indigenous groups as they develop, grow and maintain aquatic resource and oceans management departments that can provide fisheries, habitat, science, and oceans related services along a watershed.",,FP860-191000,448200,4/1/19,,"Support Indigenous groups as they develop, grow and maintain aquatic resource and oceans management departments that can provide fisheries, habitat, science, and oceans related services along a watershed.",Improved relationships with and outcomes for Indigenous people,,Fisheries and Oceans Canada | Pêches et Océans Canada
93683,086-2019-2020-Q1-00116,A-Tlegay Fisheries Society|A-Tlegay Fisheries Society,Campbell River|Campbell River,Aboriginal Aquatic Resource and Oceans Management Program,"Support Indigenous groups as they develop, grow and maintain aquatic resource and oceans management departments that can provide fisheries, habitat, science, and oceans related services along a watershed.",,F1580-190517,160000,5/9/19,,"Support Indigenous groups as they develop, grow and maintain aquatic resource and oceans management departments that can provide fisheries, habitat, science, and oceans related services along a watershed.",Improved relationships with and outcomes for Indigenous people,,Fisheries and Oceans Canada | Pêches et Océans Canada
93684,086-2019-2020-Q1-00118,Nuu-chah-nulth Tribal Council|Nuu-chah-nulth Tribal Council,Port Alberni|Port Alberni,Aboriginal Aquatic Resource and Oceans Management Program,"Support Indigenous groups as they develop, grow and maintain aquatic resource and oceans management departments that can provide fisheries, habitat, science, and oceans related services along a watershed.",,F1580-190408,883953,5/1/19,,"Support Indigenous groups as they develop, grow and maintain aquatic resource and oceans management departments that can provide fisheries, habitat, science, and oceans related services along a watershed.",Improved relationships with and outcomes for Indigenous people,,Fisheries and Oceans Canada | Pêches et Océans Canada
93588,086-2019-2020-Q1-00031,Atlantic Policy Congress of First Nations Chiefs Secretariat Inc.|Atlantic Policy Congress of First Nations Chiefs Secretariat Inc.,Dartmouth|Dartmouth,Aboriginal Aquatic Resource and Oceans Management Program,"Support Indigenous groups as they develop, grow and maintain aquatic resource and oceans management departments that can provide fisheries, habitat, science, and oceans related services along a watershed.",,FP860-181008,568931,4/1/18,,"Support Indigenous groups as they develop, grow and maintain aquatic resource and oceans management departments that can provide fisheries, habitat, science, and oceans related services along a watershed.",Improved relationships with and outcomes for Indigenous people,,Fisheries and Oceans Canada | Pêches et Océans Canada
93732,086-2019-2020-Q1-00174,Upper Fraser Fisheries Conservation Alliance|Upper Fraser Fisheries Conservation Alliance,Williams Lake|Williams Lake,Aboriginal Aquatic Resource and Oceans Management Program,"Support Indigenous groups as they develop, grow and maintain aquatic resource and oceans management departments that can provide fisheries, habitat, science, and oceans related services along a watershed.",,F1580-170500,1535000,5/17/17,,"Support Indigenous groups as they develop, grow and maintain aquatic resource and oceans management departments that can provide fisheries, habitat, science, and oceans related services along a watershed.",Improved relationships with and outcomes for Indigenous people,,Fisheries and Oceans Canada | Pêches et Océans Canada
93729,086-2019-2020-Q1-00171,North Coast-Skeena First Nations Stewardship Society|North Coast-Skeena First Nations Stewardship Society,Prince Rupert|Prince Rupert,Aboriginal Aquatic Resource and Oceans Management Program,"Support Indigenous groups as they develop, grow and maintain aquatic resource and oceans management departments that can provide fisheries, habitat, science, and oceans related services along a watershed.",,F1580-190415,396000,4/11/19,,"Support Indigenous groups as they develop, grow and maintain aquatic resource and oceans management departments that can provide fisheries, habitat, science, and oceans related services along a watershed.",Improved relationships with and outcomes for Indigenous people,,Fisheries and Oceans Canada | Pêches et Océans Canada
93728,086-2019-2020-Q1-00170,Lower Fraser Fisheries Alliance Society|Lower Fraser Fisheries Alliance Society,Abbotsford|Abbotsford,Aboriginal Aquatic Resource and Oceans Management Program,"Support Indigenous groups as they develop, grow and maintain aquatic resource and oceans management departments that can provide fisheries, habitat, science, and oceans related services along a watershed.",,F1580-190416,605990,5/1/19,,"Support Indigenous groups as they develop, grow and maintain aquatic resource and oceans management departments that can provide fisheries, habitat, science, and oceans related services along a watershed.",Improved relationships with and outcomes for Indigenous people,,Fisheries and Oceans Canada | Pêches et Océans Canada
