,ref_number,recipient_legal_name,recipient_city,prog_name_en,prog_purpose_en,agreement_title_en,agreement_number,agreement_value,agreement_start_date,agreement_end_date,description_en,expected_results_en,additional_information_en,owner_org_title
195984,GC-2018-19 Q1-00001,NEIL SQUIRE SOCIETY,Burnaby,Accessible Technology Development Program,,,511679,3059595,1/8/18,,"To develop and distribute assistive devices in categories of; switches, mouth operated systems and mounting solutions through what they call the LipSync Evolution.",,"· Multi-Year Grant or Contribution, 2018/19 to 2021/22","Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
196647,230-2019-2020-09-0139,Tetra Society of North America,Vancouver,Accessible Technology Development Program,"The main objective of the Program is the development of assistive technologies by providing contribution to eligible recipients. The program also aims to support access to, and adoption of new solutions developed by recipients through this program.",,512598,529300,9/1/19,3/31/21,"The netClé project is the development of a simple affordable digital sensory and switch control platform, enabling disabled persons to access the digital world.",,2019/20 to 2020/21,"Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
196497,230-2019-2020-06-0065,4384369 Canada Inc. (Speech Mobility Communications Inc.),Montréal,Accessible Technology Development Program,"The main objective of the Program is the development of assistive technologies by providing contribution to eligible recipients. The program also aims to support access to, and adoption of new solutions developed by recipients through this program.",,512396,503674,7/1/19,3/31/21,"Development of voice recognition, text-to-speech, and voice transcription software to enabled disabled workers to access and manage their office communications tools.",,2019/20 to 2020/21,"Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
196495,230-2019-2020-06-0061,Université du Québec à Trois-Rivières,Trois-Rivières,Accessible Technology Development Program,"The main objective of the Program is the development of assistive technologies by providing contribution to eligible recipients. The program also aims to support access to, and adoption of new solutions developed by recipients through this program.",,512391,635856,7/1/19,2/28/22,"Development of an IOS, Android and wearable application to assist people with Autism to perform daily work-related tasks.",,2019/20 to 2021/22,"Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
196465,230-2019-2020-06-0036,AccessNow (2490196 Ontario Inc.),Toronto,Accessible Technology Development Program,"The main objective of the Program is the development of assistive technologies by providing contribution to eligible recipients. The program also aims to support access to, and adoption of new solutions developed by recipients through this program.",,511900,2745046,4/12/19,3/31/22,An accessible tech project to develop a mobile application and national online platform that leverages a crowdsourcing model to collect and share accessibility information on an interactive map.,,2019/20 to 2021/22,"Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
196442,230-2019-2020-06-0064,Issist Assistive Technologies Inc.,Mississauga,Accessible Technology Development Program,"The main objective of the Program is the development of assistive technologies by providing contribution to eligible recipients. The program also aims to support access to, and adoption of new solutions developed by recipients through this program.",,512395,998688,7/1/19,3/31/22,Development of the IZoom Screen Magnifier/Reader with the Viewpoint Wearable Magnifier/Reader using a finger tracking system.,,2019/20 to 2021/22,"Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
196437,230-2019-2020-06-0063,OCAD University,Toronto,Accessible Technology Development Program,"The main objective of the Program is the development of assistive technologies by providing contribution to eligible recipients. The program also aims to support access to, and adoption of new solutions developed by recipients through this program.",,512394,2903065,7/1/19,3/31/22,"Creation of accessible data analytics and data visualization tools, devices and applications.",,2019/20 to 2021/22,"Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
196218,230-2018-2019-04-0005,OCAD University,Toronto,Accessible Technology Development Program,Funding for development of assistive technology solutions for persons with disabilities,,511914,1694712,2/1/19,3/31/22,"Project to develop accessible tech with an Android application which will centralize interfaces and automate individual control features.The main objective of the Program is the development of assistive technologies by providing contribution to eligible recipients. The program also aims to support access to, and adoption of new solutions developed by recipients through this program.","The expected results of the Program are to develop affordable and eventually commercially available new technology for Canadians with disabilities.  This new technology will provide Canadians with disabilities, improved access to the digital economy, while also enhancing their employability and marketability.","Multi-Year Grant or Contribution, 2018/19 to 2021/22; ","Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
196216,230-2018-2019-04-0004,Ryerson University,Toronto,Accessible Technology Development Program,"The main objective of the Program is the development of assistive technologies by providing contribution to eligible recipients. The program also aims to support access to, and adoption of new solutions developed by recipients through this program.",,511911,331843,2/1/19,3/31/21,An accessble tech project to develop an adapter that allows Tecla wheelchair interface to be integrated into traditionally non-accessible devices and systems.,"The expected results of the Program are to develop affordable and eventually commercially available new technology for Canadians with disabilities.  This new technology will provide Canadians with disabilities, improved access to the digital economy, while also enhancing their employability and marketability.","Multi-Year Grant or Contribution, 2018/19 to 2020/21; ","Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
196215,230-2018-2019-04-0003,Technologies HumanWare Inc.,Drummondville,Accessible Technology Development Program,"The main objective of the Program is the development of assistive technologies by providing contribution to eligible recipients. The program also aims to support access to, and adoption of new solutions developed by recipients through this program.",,511899,1063150,2/1/19,6/30/20,An accessible tech project to to develop a new low cost braille cell technology and braille reader,"The expected results of the Program are to develop affordable and eventually commercially available new technology for Canadians with disabilities.  This new technology will provide Canadians with disabilities, improved access to the digital economy, while also enhancing their employability and marketability.","Multi-Year Grant or Contribution, 2018/19 to 2020/21; ","Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada"
