,ref_number,recipient_legal_name,recipient_city,prog_name_en,prog_purpose_en,agreement_title_en,agreement_number,agreement_value,agreement_start_date,agreement_end_date,description_en,expected_results_en,additional_information_en,owner_org_title
206776,115-2018-2019-Q4-07815,RAT RIVER DEVELOPMENT CORPORATION,FORT MCPHERSON | FORT MCPHERSON,Aboriginal Economic Development - Strategic Partnerships Initiative (AANDC),"The Purpose of the Strategic Partnerships Initiative is to enable horizontal coordination of federal investments in Aboriginal economic development including the use of existing program resources to advance shared priorities and where it is deemed appropriate and necessary, resources from the Strategic Partnerships Initiative budget will be used to address gaps which cannot be covered by existing resources.",IFS1819NFC5,IFS1819NFC5,229000,12/18/18,3/31/20,This initiative is helping strengthen the development of a viable northern forestry industry based on growing markets for wood fuels.,"The expected result support communities to identify economic opportunities, build capacity and develop plans for pursuing economic opportunities in the areas of forest industry development and market development.",Amendment: Value / Outcomes/Results / Award previously disclosed for the 3rd Quarter of 2018-2019. Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
207076,115-2019-2020-Q2-08273,SK'ATSIN SILVATECH VENTURES LLP,SALMON ARM | SALMON ARM,Aboriginal Economic Development - Strategic Partnerships Initiative (AANDC),"The Purpose of the Strategic Partnerships Initiative is to enable horizontal coordination of federal investments in Aboriginal economic development including the use of existing program resources to advance shared priorities and where it is deemed appropriate and necessary, resources from the Strategic Partnerships Initiative budget will be used to address gaps which cannot be covered by existing resources.",IFW1920P10,IFW1920P10,113820,7/26/19,3/31/20,The purpose of this agreement is to help strengthen the development of a viable northern forestry industry based on growing markets for wood fuels.,"The expected result support communities to identify economic opportunities, build capacity and develop plans for pursuing economic opportunities in the areas of forest industry development and market development.",Two or more departments or agencies are involved in the funding of and/or the awarding of a particular grant or contribution award.,Natural Resources Canada | Ressources naturelles Canada
206351,115-2018-2019-Q1-07457,WAWASUM GROUP LP,THUNDER BAY | THUNDER BAY,Aboriginal Economic Development - Strategic Partnerships Initiative (AANDC),"The Purpose of the Strategic Partnerships Initiative is to enable horizontal coordination of federal investments in Aboriginal economic development including the use of existing program resources to advance shared priorities and where it is deemed appropriate and necessary, resources from the Strategic Partnerships Initiative budget will be used to address gaps which cannot be covered by existing resources.",Project Management for the Development of a Wood Pellet Facility,IFS1718GLF6,121000,3/26/18,3/31/19,"The purpose of this agreement is to provide project management to oversee all aspects of the two-year project, such as completion of the Class 10 Opinion of Cost and other studies, to support further development of a wood pellet manufacturing facility.","The expected result support communities to identify economic opportunities, build capacity and develop plans for pursuing economic opportunities in the areas of forest industry development and market development.",Amendment: Description / Award previously disclosed for the 4th Quarter of 2017-2018. Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206598,115-2018-2019-Q4-07702,KWADACHA FIRST NATION,PRINCE GEORGE | PRINCE GEORGE,Aboriginal Economic Development - Strategic Partnerships Initiative (AANDC),"The Purpose of the Strategic Partnerships Initiative is to enable horizontal coordination of federal investments in Aboriginal economic development including the use of existing program resources to advance shared priorities and where it is deemed appropriate and necessary, resources from the Strategic Partnerships Initiative budget will be used to address gaps which cannot be covered by existing resources.",IFS1819PFC23,IFS1819PFC23,22500,9/13/18,3/31/19,The purpose of this agreement is to help strengthen the development of a viable northern forestry industry based on growing markets for wood fuels.,"The expected result support communities to identify economic opportunities, build capacity and develop plans for pursuing economic opportunities in the areas of forest industry development and market development.",Amendment: Value / Award previously disclosed for the 2nd Quarter of 2018-2019.,Natural Resources Canada | Ressources naturelles Canada
207082,115-2019-2020-Q2-08487,NUNATUKAVUT COMMUNITY COUNCIL,HAPPY VALLEY - GOOSE BAY | HAPPY VALLEY - GOOSE BAY,Aboriginal Economic Development - Strategic Partnerships Initiative (AANDC),"The Purpose of the Strategic Partnerships Initiative is to enable horizontal coordination of federal investments in Aboriginal economic development including the use of existing program resources to advance shared priorities and where it is deemed appropriate and necessary, resources from the Strategic Partnerships Initiative budget will be used to address gaps which cannot be covered by existing resources.",Indigenous Led Forestry Development in Southern Labrador,IFW1922A5S,50000,9/30/19,3/31/20,The purpose of this agreement is to help strengthen the development of a viable northern forestry industry based on growing markets for wood fuels.,"The expected result support communities to identify economic opportunities, build capacity and develop plans for pursuing economic opportunities in the areas of forest industry development and market development.",Two or more departments or agencies are involved in the funding of and/or the awarding of a particular grant or contribution award.,Natural Resources Canada | Ressources naturelles Canada
207083,115-2019-2020-Q2-08359,NISGA'A LISIMS GOVERNMENT,AIYANSH | AIYANSH,Aboriginal Economic Development - Strategic Partnerships Initiative (AANDC),"The Purpose of the Strategic Partnerships Initiative is to enable horizontal coordination of federal investments in Aboriginal economic development including the use of existing program resources to advance shared priorities and where it is deemed appropriate and necessary, resources from the Strategic Partnerships Initiative budget will be used to address gaps which cannot be covered by existing resources.",IFW1920P18,IFW1920P18,44625,8/30/19,3/31/20,The purpose of this agreement is to help strengthen the development of a viable northern forestry industry based on growing markets for wood fuels.,"The expected result support communities to identify economic opportunities, build capacity and develop plans for pursuing economic opportunities in the areas of forest industry development and market development.",Two or more departments or agencies are involved in the funding of and/or the awarding of a particular grant or contribution award.,Natural Resources Canada | Ressources naturelles Canada
207087,115-2019-2020-Q2-08289,ANIMBIIGOO ZAAGI'IGAN ANISHINAABEK,BEARDMORE | BEARDMORE,Aboriginal Economic Development - Strategic Partnerships Initiative (AANDC),"The Purpose of the Strategic Partnerships Initiative is to enable horizontal coordination of federal investments in Aboriginal economic development including the use of existing program resources to advance shared priorities and where it is deemed appropriate and necessary, resources from the Strategic Partnerships Initiative budget will be used to address gaps which cannot be covered by existing resources.",IFW1920G1,IFW1920G1,97500,8/1/19,3/30/20,The purpose of this agreement is to help strengthen the development of a viable northern forestry industry based on growing markets for wood fuels.,"The expected result support communities to identify economic opportunities, build capacity and develop plans for pursuing economic opportunities in the areas of forest industry development and market development.",Two or more departments or agencies are involved in the funding of and/or the awarding of a particular grant or contribution award.,Natural Resources Canada | Ressources naturelles Canada
206216,115-2018-2019-Q2-07318,"GOVERNMENT OF YUKON ENERGY BRANCH, DEPT OF ENERGY MINES",WHITEHORSE | WHITEHORSE,Aboriginal Economic Development - Strategic Partnerships Initiative (AANDC),"The Purpose of the Strategic Partnerships Initiative is to enable horizontal coordination of federal investments in Aboriginal economic development including the use of existing program resources to advance shared priorities and where it is deemed appropriate and necessary, resources from the Strategic Partnerships Initiative budget will be used to address gaps which cannot be covered by existing resources.",Yukon First Nation Biomass Capacity Enhancement Initiative,IFS1821PFC2,945000,7/18/18,3/31/21,This initiative is helping strengthen the development of a viable northern forestry industry based on growing markets for wood fuels.,"The expected result support communities to identify economic opportunities, build capacity and develop plans for pursuing economic opportunities in the areas of forest industry development and market development.",Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206890,115-2018-2019-Q4-08558,GITXSAN ENERGY INC,DELTA | DELTA,Aboriginal Economic Development - Strategic Partnerships Initiative (AANDC),"The Purpose of the Strategic Partnerships Initiative is to enable horizontal coordination of federal investments in Aboriginal economic development including the use of existing program resources to advance shared priorities and where it is deemed appropriate and necessary, resources from the Strategic Partnerships Initiative budget will be used to address gaps which cannot be covered by existing resources.",IFS1820NCR2,IFS1820NCR2,225000,10/4/18,3/31/20,This initiative is helping strengthen the development of a viable northern forestry industry based on growing markets for wood fuels.,"The expected result support communities to identify economic opportunities, build capacity and develop plans for pursuing economic opportunities in the areas of forest industry development and market development.",Amendment: Outcomes/Results / Award previously disclosed for the 3rd Quarter of 2018-2019. Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206380,115-2018-2019-Q3-07505,MEE-TOOS FOREST PRODUCTS LTD.,PRINCE ALBERT | PRINCE ALBERT,Aboriginal Economic Development - Strategic Partnerships Initiative (AANDC),"The Purpose of the Strategic Partnerships Initiative is to enable horizontal coordination of federal investments in Aboriginal economic development including the use of existing program resources to advance shared priorities and where it is deemed appropriate and necessary, resources from the Strategic Partnerships Initiative budget will be used to address gaps which cannot be covered by existing resources.",IFS1819NFC6,IFS1819NFC6,14250,12/19/18,3/31/19,This initiative is helping strengthen the development of a viable northern forestry industry based on growing markets for wood fuels.,"The expected result support communities to identify economic opportunities, build capacity and develop plans for pursuing economic opportunities in the areas of forest industry development and market development.",Two or more departments or agencies are involved in the funding of and/or the awarding of a particular grant or contribution award.,Natural Resources Canada | Ressources naturelles Canada
206379,115-2018-2019-Q3-07331,TZAH TEZ TLEE DEVELOPMENT CORPORATION,SMITHERS | SMITHERS,Aboriginal Economic Development - Strategic Partnerships Initiative (AANDC),"The Purpose of the Strategic Partnerships Initiative is to enable horizontal coordination of federal investments in Aboriginal economic development including the use of existing program resources to advance shared priorities and where it is deemed appropriate and necessary, resources from the Strategic Partnerships Initiative budget will be used to address gaps which cannot be covered by existing resources.",District Heating Project for Fort Babine,IFJ1819PFC20,50000,11/20/18,3/31/19,The purpose of this agreement is to help strengthen the development of a viable northern forestry industry based on growing markets for wood fuels.,"The expected result support communities to identify economic opportunities, build capacity and develop plans for pursuing economic opportunities in the areas of forest industry development and market development.",,Natural Resources Canada | Ressources naturelles Canada
206378,115-2018-2019-Q3-07517,RAT RIVER DEVELOPMENT CORPORATION,FORT MCPHERSON | FORT MCPHERSON,Aboriginal Economic Development - Strategic Partnerships Initiative (AANDC),"The Purpose of the Strategic Partnerships Initiative is to enable horizontal coordination of federal investments in Aboriginal economic development including the use of existing program resources to advance shared priorities and where it is deemed appropriate and necessary, resources from the Strategic Partnerships Initiative budget will be used to address gaps which cannot be covered by existing resources.",IFS1819NFC5,IFS1819NFC5,184000,12/18/18,3/31/20,This initiative is helping strengthen the development of a viable northern forestry industry based on growing markets for wood fuels.,"The expected result support communities to identify economic opportunities, build capacity and develop plans for pursuing economic opportunities in the areas of forest industry development and market development.",Two or more departments or agencies are involved in the funding of and/or the awarding of a particular grant or contribution award. Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206209,115-2018-2019-Q3-07273,LAC DES MILLE LACS FIRST NATION,THUNDER BAY | THUNDER BAY,Aboriginal Economic Development - Strategic Partnerships Initiative (AANDC),"The Purpose of the Strategic Partnerships Initiative is to enable horizontal coordination of federal investments in Aboriginal economic development including the use of existing program resources to advance shared priorities and where it is deemed appropriate and necessary, resources from the Strategic Partnerships Initiative budget will be used to address gaps which cannot be covered by existing resources.",Growing a Biomass Cluster - Advanced Biomass Wood Pellets Feasibility Analysis and Engagement Strategy,IF1819GFC2-S,50000,10/25/18,3/31/19,This initiative is helping strengthen the development of a viable northern forestry industry based on growing markets for wood fuels.,"The expected result support communities to identify economic opportunities, build capacity and develop plans for pursuing economic opportunities in the areas of forest industry development and market development.",,Natural Resources Canada | Ressources naturelles Canada
206377,115-2018-2019-Q3-07423,GITXSAN ENERGY INC,DELTA | DELTA,Aboriginal Economic Development - Strategic Partnerships Initiative (AANDC),"The Purpose of the Strategic Partnerships Initiative is to enable horizontal coordination of federal investments in Aboriginal economic development including the use of existing program resources to advance shared priorities and where it is deemed appropriate and necessary, resources from the Strategic Partnerships Initiative budget will be used to address gaps which cannot be covered by existing resources.",IFS1820NCR2,IFS1820NCR2,225000,10/4/18,3/31/20,This initiative is helping strengthen the development of a viable northern forestry industry based on growing markets for wood fuels.,"The expected result support communities to identify economic opportunities, build capacity and develop plans for pursuing economic opportunities in the areas of forest industry development and market development.",Two or more departments or agencies are involved in the funding of and/or the awarding of a particular grant or contribution award. Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206375,115-2018-2019-Q3-07620,WAWASUM GROUP LP,THUNDER BAY | THUNDER BAY,Aboriginal Economic Development - Strategic Partnerships Initiative (AANDC),"The Purpose of the Strategic Partnerships Initiative is to enable horizontal coordination of federal investments in Aboriginal economic development including the use of existing program resources to advance shared priorities and where it is deemed appropriate and necessary, resources from the Strategic Partnerships Initiative budget will be used to address gaps which cannot be covered by existing resources.",Project Management for the Development of a Wood Pellet Facility,IFS1718GLF6,121000,3/26/18,3/31/19,"The purpose of this agreement is to provide project management to oversee all aspects of the two-year project, such as completion of the studies to support and explore further development of a wood pellet manufacturing facility.","The expected result support communities to identify economic opportunities, build capacity and develop plans for pursuing economic opportunities in the areas of forest industry development and market development.",Amendment: Description / Outcomes/Results / Award previously disclosed for the 1st Quarter of 2018-2019. Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206208,115-2018-2019-Q3-07303,WET'SUWET'EN TREATY OFFICE SOCIETY,SMITHERS | SMITHERS,Aboriginal Economic Development - Strategic Partnerships Initiative (AANDC),"The Purpose of the Strategic Partnerships Initiative is to enable horizontal coordination of federal investments in Aboriginal economic development including the use of existing program resources to advance shared priorities and where it is deemed appropriate and necessary, resources from the Strategic Partnerships Initiative budget will be used to address gaps which cannot be covered by existing resources.",Wet'suwet'en Opportunity Wood Licence,IFJ1819PFC10,100000,10/16/18,3/31/19,This initiative is helping strengthen the development of a viable northern forestry industry based on growing markets for wood fuels.,"The expected result support communities to identify economic opportunities, build capacity and develop plans for pursuing economic opportunities in the areas of forest industry development and market development.",,Natural Resources Canada | Ressources naturelles Canada
206287,115-2018-2019-Q3-07251,KITSELAS FIRST NATION,TERRACE | TERRACE,Aboriginal Economic Development - Strategic Partnerships Initiative (AANDC),"The Purpose of the Strategic Partnerships Initiative is to enable horizontal coordination of federal investments in Aboriginal economic development including the use of existing program resources to advance shared priorities and where it is deemed appropriate and necessary, resources from the Strategic Partnerships Initiative budget will be used to address gaps which cannot be covered by existing resources.",Kitselas CHP Using Wood Residue: NWBC,IFJ1819PFC12,69443,10/17/18,3/31/20,The purpose of this agreement is to help strengthen the development of a viable northern forestry industry based on growing markets for wood fuels.,"The expected result support communities to identify economic opportunities, build capacity and develop plans for pursuing economic opportunities in the areas of forest industry development and market development.",Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206624,115-2018-2019-Q4-07703,WAWASUM GROUP LP,THUNDER BAY | THUNDER BAY,Aboriginal Economic Development - Strategic Partnerships Initiative (AANDC),"The Purpose of the Strategic Partnerships Initiative is to enable horizontal coordination of federal investments in Aboriginal economic development including the use of existing program resources to advance shared priorities and where it is deemed appropriate and necessary, resources from the Strategic Partnerships Initiative budget will be used to address gaps which cannot be covered by existing resources.",Project Management for the Development of a Wood Pellet Facility,IFS1718GLF6,121000,3/26/18,3/31/19,"The purpose of this agreement is to provide project management to oversee all aspects of the two-year project, such as completion of the studies to support and explore further development of a wood pellet manufacturing facility.","The expected result support communities to identify economic opportunities, build capacity and develop plans for pursuing economic opportunities in the areas of forest industry development and market development.",Amendment: Outcomes/Results / Award previously disclosed for the 3rd Quarter of 2018-2019. Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
207080,115-2019-2020-Q2-08191,INUKSHUK SYNERGIE INC.,MASHTEUIATSH | MASHTEUIATSH,Aboriginal Economic Development - Strategic Partnerships Initiative (AANDC),"The Purpose of the Strategic Partnerships Initiative is to enable horizontal coordination of federal investments in Aboriginal economic development including the use of existing program resources to advance shared priorities and where it is deemed appropriate and necessary, resources from the Strategic Partnerships Initiative budget will be used to address gaps which cannot be covered by existing resources.",IFS1921LFC1,IFS1921LFC1,205000,7/2/19,3/31/21,The purpose of this agreement is to help strengthen the development of a viable northern forestry industry based on growing markets for wood fuels.,"The expected result support communities to identify economic opportunities, build capacity and develop plans for pursuing economic opportunities in the areas of forest industry development and market development.",Two or more departments or agencies are involved in the funding of and/or the awarding of a particular grant or contribution award. Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206498,115-2018-2019-Q4-07673,TSAY KEH DENE BAND,PRINCE GEORGE | PRINCE GEORGE,Aboriginal Economic Development - Strategic Partnerships Initiative (AANDC),"The Purpose of the Strategic Partnerships Initiative is to enable horizontal coordination of federal investments in Aboriginal economic development including the use of existing program resources to advance shared priorities and where it is deemed appropriate and necessary, resources from the Strategic Partnerships Initiative budget will be used to address gaps which cannot be covered by existing resources.",Tsay Keh Dene Nation Forestry Training Skills Development Initiative,IFJ1920PFC9,72000,2/19/19,3/31/20,This initiative is helping strengthen the development of a viable northern forestry industry based on growing markets for wood fuels.,"The expected result support communities to identify economic opportunities, build capacity and develop plans for pursuing economic opportunities in the areas of forest industry development and market development.",Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206744,GC-2016-Q2-05942,"FORESTRY AND AGRICULTURAL BIOTECHNOLOGY INSTITUTE, UNIVERSITY OF PRETORIA",HATFIELD | HATFIELD,Class Contribution Program,"To support research, development and promotion activities that will contribute to the achievement of the department's expected results and strategic outcomes as articulated in the MRRS and a supporting Performance Management Framework (PMF).",Reproductive Biology and survey and detection tools for Sirex Noctilio,GC-128440S,90000,8/12/15,8/31/16,"The purpose of this agreement is to examine the host and mate location behaviour of the woodwasp Sirex noctilio and attempt to develop an operational lure for use in survey and detection programs. This agreement has three objectives: a) to provide foundational science to help us understand the use of visual and olfactory signals and cues by forest insect pests; b) to provide management tools for the global invasive forest insect pest, Sirex noctilio; and, c) to strengthen and enhance the relationship between the Forestry and Agricultural Biotechnology Institute, University of Pretoria and the Canadian Forest Service. The funding for this agreement will be coming from external, non-federal sources.",,Grant or contribution awarded and spanning more than one fiscal year.  Belated reporting of a grant or contribution award.,Natural Resources Canada | Ressources naturelles Canada
