recipient_city,year,agreement_value
 St-Aimé-des-Lacs,2019,0
100 Mile House,2006,390035
100 Mile House,2007,255392
100 Mile House,2008,84007
100 Mile House,2009,244203
100 Mile House,2010,297318
100 Mile House,2012,272917
100 Mile House,2013,275746
100 Mile House,2014,265696
100 Mile House,2016,175962
100 Mile House,2018,11459
100 Mile House,2019,97799
108 Mile Ranch,2018,9108
108 Mile Ranch,2019,26177
150 Mile House,2018,5781
150 Mile House,2019,6352
70 Mile House,2019,17644
ABBOTSFORD,2019,30720
AIRDRIE,2019,1800
ALBANEL,2018,1080
ARMSTRONG,2019,1941
ATHABASCA,2019,4777
Abbey,2018,987
Abbey,2019,1549
Abbotsford,2006,326626
Abbotsford,2007,987362
Abbotsford,2008,1723790
Abbotsford,2009,1158205
Abbotsford,2010,22262816
Abbotsford,2011,952884
Abbotsford,2012,715819
Abbotsford,2013,900800
Abbotsford,2014,944537
Abbotsford,2015,1479177
Abbotsford,2016,97113
Abbotsford,2018,596591
Abbotsford,2019,1718385
"Abbotsford, British Columbia",2017,36008
"Abbotsford, British Columbia|Abbotsford, Colombie-Britannique",2016,185576
"Abbotsford, British Columbia|Abbotsford, Colombie-Britannique",2017,30631
"Abbotsford, British Columbia|Abbotsford, Colombie-Britannique",2018,45838
Abercrombie,2019,1388
Aberdeen,2018,2631
Abernethy,2018,8311
Abernethy,2019,24413
Abram-Village,2018,3234
Acadia Valley,2018,6528
Acadia Valley,2019,18400
Acadieville,2018,4653
Acadieville,2019,3147
Acheson,2018,3264
Acheson,2019,10500
Acme,2018,20029
Acme,2019,18300
Acton,2016,159744
Acton,2018,13877
Acton Vale,2006,139100
Acton Vale,2007,111664
Acton Vale,2008,89087
Acton Vale,2010,324971
Acton Vale,2011,513198
Acton Vale,2015,40673
Acton Vale,2018,42370
Acton Vale,2019,97720
"Acton, Ontario",2018,50000
Addison,2018,3360
Adstock,2018,19142
Adstock,2019,60292
Advocate Harbour,2018,6380
Advocate Harbour,2019,6122
Afton,2018,6872
Afton Station,2015,312624
Afton Station,2019,10833
Agassiz,2006,147397
Agassiz,2007,144784
Agassiz,2008,188477
Agassiz,2012,1975231
Agassiz,2015,50000
Agassiz,2018,3180724
Agassiz,2019,202947
Aguanish,2018,3551
Aguanish,2019,9598
Aguathuna,2019,9165
Ahousaht,2018,6072
Ahousaht,2019,22055
Ailsa Craig,2010,50000
Ailsa Craig,2018,31987
Air Ronge,2007,64140
Air Ronge,2018,1316
Air Ronge,2019,1549
Airdrie,2015,38285
Airdrie,2016,304238
Airdrie,2018,168066
Airdrie,2019,169546
"Airdrie, Alberta",2017,35136
Ajax,2007,83643
Ajax,2009,101035
Ajax,2010,25492
Ajax,2011,71553
Ajax,2012,163744
Ajax,2013,32786
Ajax,2014,33622
Ajax,2015,34307
Ajax,2016,299023
Ajax,2018,750406
Ajax,2019,106909
"Ajax, Ontario",2017,359001
Aklavik,2018,16064
Akwesasne,2018,15188
"Akwesasne, Ontario",2017,700000
Alban,2018,11866
Albanel,2018,16281
Albanel,2019,57276
Albany,2006,35360
Albany,2018,3817
Albany,2019,32425
Albert Bridge,2018,8192
Albert Bridge,2019,8464
Alberta Beach,2018,7418
Alberta Beach,2019,8295
Alberton,2006,213893
Alberton,2007,72366
Alberton,2008,351686
Alberton,2009,70067
Alberton,2010,209569
Alberton,2011,322146
Alberton,2012,98201
Alberton,2013,96739
Alberton,2014,131863
Alberton,2015,172679
Alberton,2016,166537
Alberton,2018,42556
Alberton,2019,147918
"Alberton, Prince Edward Island|Alberton, Île-du-Prince-Édouard",2017,613842
Alcida,2018,3514
Alcida,2019,3081
Alcove,2019,3500
Aldergrove,2018,96352
Aldergrove,2019,141971
Alderwood,2018,1183
Alderwood,2019,1208
Alert Bay,2018,6077
Alert Bay,2019,21588
Alexander,2019,1591
Alexandria,2018,70025
Alexis Creek,2019,33881
Alfred,2007,26220
Alfred,2013,36601
Alfred,2014,117848
Alfred,2018,31618
Alfred,2019,0
Algonquin Highlands,2015,32500
Algonquin Highlands,2018,24848
Algonquin Highlands,2019,51690
"Algonquin Highlands, Ontario",2017,43875
Alida,2018,6094
Alida,2019,28782
Alix,2018,3264
Alix,2019,4200
All Newfoundland and Labrador,2019,0
Allan,2018,5263
Allan,2019,5954
Allardville,2018,1380
Allardville,2019,1380
Allenford,2010,41265
Allenford,2018,5040
Allenford,2019,0
Alleyn-et-Cawood,2018,2471
Alliston,2012,48184
Alliston,2016,33055
Alliston,2018,162605
Alliston,2019,83919
"Alliston, Ontario",2017,41738
Alma,2006,793828
Alma,2007,134338
Alma,2008,255598
Alma,2009,45849
Alma,2010,494475
Alma,2011,280719
Alma,2012,407060
Alma,2013,89582
Alma,2014,503699
Alma,2015,271266
Alma,2016,308730
Alma,2018,332956
Alma,2019,1266188
"Alma, Quebec|Alma, Québec",2017,255818
Almonte,2008,50000
Almonte,2011,34239
Almonte,2014,30470
Almonte,2018,59004
Alouette,2019,31866
Altona,2006,27923
Altona,2007,33208
Altona,2008,33515
Altona,2010,29487
Altona,2018,11560
Altona,2019,63468
Alvinston,2019,9392
Amaranth,2018,10080
Ameliasburgh,2018,5477
Amherst,2006,292996
Amherst,2007,93432
Amherst,2008,236738
Amherst,2009,100852
Amherst,2010,338010
Amherst,2013,83711
Amherst,2015,89583
Amherst,2018,111612
Amherst,2019,164163
