prog_name_en,recipient_city,year,agreement_value
 Apprenticeship Grants ,Gatineau,2019,98285000
0,100 Mile House,2009,244203
0,100 Mile House,2012,272917
0,Abbotsford,2009,661807
0,Abbotsford,2010,56200
0,Abbotsford,2011,391869
0,Abbotsford,2012,715819
0,Acton Vale,2010,99983
0,Acton Vale,2011,291289
0,Agassiz,2012,1975231
0,Ailsa Craig,2010,50000
0,Ajax,2009,54530
0,Ajax,2010,25492
0,Ajax,2012,71891
0,Alberton,2009,70067
0,Alberton,2010,163196
0,Alberton,2011,179646
0,Alberton,2012,98201
0,Allenford,2010,41265
0,Alliston,2012,48184
0,Alma,2009,45849
0,Alma,2010,157139
0,Alma,2011,185938
0,Alma,2012,407060
0,Amherst,2009,100852
0,Amherst,2010,177634
0,Amherstburg,2010,282172
0,Amos,2009,94169
0,Amos,2012,169519
0,Amqui,2009,49985
0,Amqui,2011,168008
0,Amqui,2012,80876
0,Ancaster,2009,68084
0,Ancaster,2011,58037
0,Ancaster,2012,55486
0,Anjou,2012,89569
0,Antigonish,2009,25542
0,Antigonish,2011,1297817
0,Armstrong,2011,62000
0,Armstrong,2012,1278818
0,Arviat,2010,2475000
0,Asbestos,2010,295151
0,Asbestos,2011,665690
0,Ashburn,2009,136431
0,Ashburn,2012,97162
0,Atlin,2012,678252
0,Aurora,2012,99923
0,Aylmer,2012,30000
0,Ayr,2011,196849
0,Ayr,2012,206902
0,Baie-Comeau,2009,232776
0,Baie-Comeau,2011,232845
0,Baie-Comeau,2012,300430
0,Baie-Saint-Paul,2010,25041
0,Baie-Saint-Paul,2011,30938
0,Baie-Saint-Paul,2012,156730
0,Baie-St-Paul,2010,98647
0,Baie-du-Febvre,2009,64168
0,Bancroft,2011,87267
0,Bancroft,2012,175345
0,Barrie,2009,1809209
0,Barrie,2010,537211
0,Barrie,2011,1260081
0,Barrie,2012,1078680
0,Bathrust,2009,37200
0,Bathurst,2009,2159427
0,Bathurst,2010,32513
0,Bathurst,2011,55605
0,Bathurst,2012,763457
0,Bay Bulls,2011,27300
0,Bay Roberts,2011,27304
0,Bay Roberts,2012,65565
0,Bearn,2011,93838
0,Beauharnois,2011,156605
0,Beauharnois,2012,84328
0,Beausejour,2010,71752
0,Beausejour,2011,48045
0,Beausejour,2012,91934
0,Behchoko,2010,4385142
0,Belcarra,2009,59585
0,Belcarra,2011,51113
0,Belcarra,2012,61880
0,Bell Island,2011,40954
0,Bell Island,2012,40980
0,Bella Bella,2009,97877
0,Bella Bella,2010,99654
0,Bella Bella,2011,98826
0,Bella Bella,2012,99577
0,Belleville,2011,443719
0,Belleville,2012,188444
0,Berwick,2011,44850
0,Big Cove,2009,72739
0,Big Trout Lake,2012,49774
0,Bishop's Falls,2009,37976
0,Bishop's Falls,2011,27150
0,Blainville,2009,99657
0,Blainville,2011,136703
0,Blainville,2012,94618
0,Blairmore,2012,63613
0,Boat Harbour,2009,34382
0,Boat Harbour,2011,32763
0,Boat Harbour,2012,30052
0,Bobcaygeon,2011,68000
0,Bolton,2010,350626
0,Bolton,2011,668154
0,Bonavista,2009,25660
0,Bothwell,2009,187836
0,Bothwell,2010,5482999
0,Bouctouche,2012,44443
0,Bowden,2012,266860
0,Bragg Creek,2009,81056
0,Bragg Creek,2011,54560
0,Bragg Creek,2012,58656
0,Brampton,2009,191594
0,Brampton,2010,407501
0,Brampton,2011,143815
0,Brampton,2012,163469
0,Brandon,2009,312904
0,Brandon,2010,37398
0,Brandon,2011,102615
0,Brandon,2012,4193024
0,Brantford,2009,93923
0,Brantford,2010,1829026
0,Brantford,2011,110014
0,Brantford,2012,185506
0,Brechin,2011,75000
0,Bridgetown,2009,499999.96
0,Bridgewater,2011,122589
0,Brockville,2009,410213
0,Brockville,2011,4031330
0,Brockville,2012,189636
0,Brooks,2009,193824
0,Brooks,2010,162351
0,Brooks,2012,431413
0,Brossard,2009,191819
0,Brossard,2010,377299
0,Brossard,2011,960776
0,Brossard,2012,179743
0,Burlington,2009,300236
0,Burlington,2010,428121
0,Burlington,2011,473691
0,Burlington,2012,964028
0,Burnaby,2009,4721510
0,Burnaby,2010,1628953
0,Burnaby,2011,24298813
0,Burnaby,2012,1341275
0,Burns Lake,2010,29994
0,Burnside,2011,2380682
0,Busby,2009,28616
0,CAlgary,2009,49040
0,Cabano,2010,167223
0,Cabano,2011,318837
0,Calabogie,2011,75000
0,Calabogie,2012,75000
0,Caledon,2011,75000
0,Caledonia,2010,50000
0,Calgary,2009,22003020
0,Calgary,2010,5225958
0,Calgary,2011,2942815
0,Calgary,2012,8780662
0,Cambridge,2010,50000
0,Cambridge,2011,264046
0,Cambridge,2012,823741
0,Cambridge Bay,2009,1502358
0,Cambridge Bay,2010,4777842
0,Cambridge Bay,2011,816322
0,Cambridge Bay,2012,5191917
0,Campbell River,2009,157985
0,Campbell River,2010,165405
0,Campbell River,2011,577852
0,Campbell River,2012,78804
0,Campbellford,2009,50000
0,Campbellford,2011,68530
0,Campbellton,2009,492427
0,Campbellton,2011,86990
0,Campbellton,2012,2114306
0,Campbelton,2010,200000
0,Camrose,2009,97657
0,Camrose,2012,347068
0,Canton de Newport,2009,95947
0,Canton de Newport,2010,99267
0,Canton de Newport,2011,239515
0,Capreol,2011,27649
0,Capreol,2012,27569
0,Caraquet,2009,113615
0,Caraquet,2011,98556
0,Caraquet,2012,109876
0,Carbonear,2009,230845
0,Carbonear,2010,28883
0,Carbonear,2011,65973
0,Carbonear,2012,62875
0,Cardston,2011,28913
0,Carleton Place,2009,400676
0,Carleton Place,2010,50000
0,Carleton Place,2012,387527
0,Castries,2012,42378
0,Cayuga,2008,50000
0,Central Bedeque,2012,50000
0,Chambly,2009,188982
0,Chandler,2009,96600
0,Chandler,2011,99461
0,Chapeau,2009,93972
0,Chapeau,2011,95987
0,Chapeau,2012,113012
